Precinct	total_votes	votes|Merry Marwig
38002	149	149
38007	42	42
38012	127	127
38017	26	26
38020	136	136
38024	1	1
38028	156	156
41001	123	123
41002	136	136
41003	86	86
41004	181	181
41005	160	160
41007	166	166
41008	164	164
41010	207	207
41011	167	167
41013	139	139
41015	186	186
41016	133	133
41017	173	173
41018	131	131
41020	125	125
41021	160	160
41022	201	201
41023	118	118
41025	73	73
41026	168	168
41027	97	97
41031	189	189
41033	126	126
41034	142	142
41035	204	204
41036	155	155
41037	173	173
41040	167	167
41041	123	123
41042	134	134
41043	143	143
41044	147	147
41045	121	121
41046	187	187
Leyden 1	63	63
Leyden 2	74	74
Leyden 12	53	53
Leyden 17	68	68
Leyden 18	95	95
Leyden 25	88	88
Leyden 27	20	20
Leyden 38	35	35
Leyden 42	128	128
Leyden 44	84	84
Leyden 45	83	83
Maine 5	54	54
Maine 23	108	108
Maine 27	124	124
Maine 28	50	50
Maine 29	213	213
Maine 30	335	335
Maine 39	130	130
Maine 41	97	97
Maine 43	92	92
Maine 45	38	38
Maine 49	124	124
Maine 55	129	129
Maine 57	54	54
Maine 59	126	126
Maine 60	194	194
Maine 66	22	22
Maine 70	109	109
Maine 82	137	137
Maine 85	71	71
Maine 88	69	69
Maine 91	209	209
Maine 92	111	111
Niles 9	123	123
Niles 13	58	58
Norwood Park 5	157	157
Norwood Park 6	194	194
Norwood Park 7	141	141
Norwood Park 8	92	92
Norwood Park 9	107	107
Norwood Park 10	141	141
Norwood Park 13	112	112
Norwood Park 17	157	157
