Precinct	total_votes	votes|Silvana Tabares
12002	129	129
12006	144	144
12007	135	135
12010	145	145
12011	161	161
12012	158	158
12013	33	33
12014	147	147
12015	147	147
12016	112	112
12017	97	97
12018	103	103
12020	181	181
12022	119	119
14001	19	19
15006	125	125
15009	0	0
15010	87	87
15011	80	80
15012	3	3
22004	44	44
22005	4	4
22007	13	13
22010	187	187
22013	83	83
22014	122	122
22015	90	90
22016	105	105
22017	20	20
22018	59	59
22019	21	21
22022	117	117
23001	62	62
23012	166	166
23016	187	187
23021	169	169
23027	160	160
23036	151	151
23037	109	109
24016	159	159
Berwyn Ward 1 Precinct 2	4	4
Cicero 5	1	1
Cicero 6	191	191
Cicero 13	117	117
Cicero 20	156	156
Lyons 1	26	26
Lyons 3	142	142
Lyons 19	170	170
Lyons 22	120	120
Lyons 30	53	53
Lyons 32	68	68
Lyons 37	118	118
Lyons 56	247	247
Lyons 57	206	206
Lyons 59	114	114
Lyons 60	285	285
Lyons 64	167	167
Lyons 66	120	120
Riverside 2	11	11
Riverside 3	126	126
Riverside 4	336	336
Stickney 1	71	71
Stickney 2	132	132
Stickney 16	183	183
Stickney 17	43	43
Stickney 19	159	159
