Precinct	total_votes	votes|Jaime M. Andrade, Jr.
01041	11	11
01042	7	7
30003	130	130
30007	0	0
30008	198	198
30015	196	196
30018	89	89
30022	202	202
30023	5	5
30024	159	159
30025	77	77
30028	190	190
30032	119	119
32001	59	59
32003	126	126
32017	226	226
32026	157	157
32028	109	109
32043	198	198
33001	241	241
33002	134	134
33003	233	233
33004	255	255
33005	116	116
33006	193	193
33007	179	179
33009	266	266
33011	226	226
33012	200	200
33013	200	200
33014	89	89
33015	248	248
33016	296	296
33017	238	238
33018	173	173
33019	204	204
33020	199	199
33021	245	245
33022	238	238
33025	259	259
33026	158	158
33027	205	205
33028	204	204
35001	174	174
35004	172	172
35005	169	169
35006	174	174
35009	152	152
35020	151	151
35022	219	219
35023	184	184
35024	148	148
35026	152	152
35027	155	155
35029	117	117
35030	108	108
35031	195	195
39003	238	238
39006	1	1
39012	114	114
39025	115	115
39028	268	268
39031	136	136
39034	190	190
45001	161	161
45002	187	187
45003	196	196
45004	251	251
45005	219	219
45006	251	251
45007	326	326
45008	11	11
