Precinct	total_votes	votes|Delia C. Ramirez	votes|Alyx S. Pattison	votes|Iris J. Millan	votes|Anne Shaw
01001	228	111	39	45	33
01003	253	104	54	39	56
01004	237	104	33	50	50
01005	218	98	46	45	29
01006	204	86	38	50	30
01008	56	19	4	24	9
01010	214	86	55	36	37
01011	187	84	34	28	41
01014	231	88	65	52	26
01015	223	71	51	69	32
01017	168	93	20	37	18
01018	261	128	39	61	33
01020	191	98	30	30	33
01021	205	86	50	28	41
01022	161	70	28	35	28
01024	208	119	19	49	21
01025	194	100	32	41	21
01026	125	85	2	26	12
01027	216	89	37	52	38
01029	243	106	42	58	37
01030	273	133	33	71	36
01031	241	93	38	75	35
01032	161	83	17	32	29
01033	252	67	70	38	77
01035	250	93	67	40	50
01036	198	75	35	31	57
01037	175	62	46	29	38
01038	221	98	31	57	35
01039	202	86	37	45	34
01040	235	79	23	65	68
01044	210	109	32	38	31
02001	69	27	25	9	8
02003	252	99	67	36	50
02004	173	67	63	15	28
02005	236	90	55	41	50
02014	269	95	132	19	23
02015	26	8	12	6	0
02016	201	56	68	56	21
02017	39	16	14	5	4
02021	247	91	105	28	23
26001	190	72	22	59	37
26002	172	103	9	32	28
26003	198	102	34	29	33
26004	89	59	1	15	14
26005	163	86	9	37	31
26006	136	74	19	26	17
26008	87	52	8	17	10
26009	163	105	13	30	15
26010	159	83	19	40	17
26011	168	98	15	31	24
26012	169	93	27	25	24
26013	77	43	10	12	12
26014	123	94	5	15	9
26015	88	48	5	28	7
26016	78	54	1	18	5
26018	102	51	8	29	14
26019	51	28	6	13	4
26020	158	95	17	30	16
26021	175	98	11	36	30
26022	67	47	3	10	7
26023	98	68	4	15	11
26024	157	110	15	17	15
26025	144	87	6	32	19
26026	97	54	13	16	14
26027	230	127	26	43	34
26028	46	24	7	7	8
26029	101	55	11	19	16
26030	141	74	11	33	23
26031	82	57	2	19	4
26032	175	75	29	34	37
26033	178	103	11	38	26
26034	13	10	0	2	1
26035	171	100	10	41	20
26036	135	60	17	32	26
26038	63	37	3	10	13
26039	174	73	26	47	28
26040	110	56	9	33	12
26041	172	93	16	35	28
26042	130	68	5	33	24
26043	84	56	5	17	6
26044	105	63	4	26	12
26045	53	19	5	19	10
26047	91	61	4	18	8
26048	156	71	17	48	20
26049	74	42	4	20	8
27005	2	0	1	0	1
27007	238	102	40	57	39
27013	85	27	17	19	22
27024	14	8	1	2	3
27027	5	1	2	0	2
27040	30	6	8	9	7
27043	2	1	0	0	1
31004	39	18	4	8	9
31016	74	39	11	12	12
35003	154	87	16	24	27
35012	138	92	10	23	13
35013	133	65	4	49	15
35016	130	65	8	40	17
35019	17	13	0	3	1
35021	176	86	30	37	23
36012	45	24	3	15	3
37012	8	6	1	1	0
37022	0	0	0	0	0
