Precinct	total_votes	votes|Bill Cunningham
17018	4	4
18009	129	129
18019	11	11
18026	61	61
18032	181	181
18034	226	226
19001	233	233
19002	335	335
19003	136	136
19004	250	250
19005	303	303
19006	221	221
19007	230	230
19008	195	195
19009	182	182
19010	323	323
19011	186	186
19012	169	169
19013	311	311
19015	234	234
19016	229	229
19017	199	199
19018	234	234
19019	313	313
19021	173	173
19022	261	261
19023	244	244
19024	167	167
19025	242	242
19026	247	247
19027	245	245
19028	271	271
19029	183	183
19030	176	176
19032	204	204
19033	194	194
19034	227	227
19035	259	259
19036	283	283
19037	259	259
19038	219	219
19039	59	59
19041	180	180
19044	213	213
19045	248	248
19046	258	258
19050	186	186
19051	293	293
19052	200	200
19053	223	223
19054	137	137
19055	162	162
19056	269	269
19057	216	216
21001	195	195
21003	191	191
21007	194	194
21008	183	183
21009	211	211
21013	143	143
21014	233	233
21015	44	44
21016	153	153
21018	181	181
21022	50	50
21026	16	16
21029	191	191
21032	165	165
21036	36	36
21042	41	41
21048	26	26
34049	8	8
Lyons 23	4	4
Lyons 46	122	122
Orland 1	178	178
Orland 2	164	164
Orland 3	83	83
Orland 4	87	87
Orland 7	82	82
Orland 8	139	139
Orland 9	161	161
Orland 10	143	143
Orland 12	60	60
Orland 16	88	88
Orland 18	187	187
Orland 20	59	59
Orland 22	154	154
Orland 25	225	225
Orland 26	127	127
Orland 28	85	85
Orland 29	150	150
Orland 31	90	90
Orland 32	81	81
Orland 33	110	110
Orland 36	192	192
Orland 37	198	198
Orland 38	67	67
Orland 40	138	138
Orland 46	88	88
Orland 48	135	135
Orland 53	171	171
Orland 54	162	162
Orland 55	138	138
Orland 56	101	101
Orland 64	156	156
Orland 69	99	99
Palos 1	48	48
Palos 2	105	105
Palos 7	130	130
Palos 8	57	57
Palos 10	143	143
Palos 11	126	126
Palos 12	139	139
Palos 13	113	113
Palos 14	99	99
Palos 16	181	181
Palos 21	93	93
Palos 22	32	32
Palos 24	60	60
Palos 26	57	57
Palos 29	135	135
Palos 30	184	184
Palos 32	62	62
Palos 34	111	111
Palos 35	210	210
Palos 36	177	177
Palos 37	151	151
Palos 39	165	165
Worth 3	188	188
Worth 4	233	233
Worth 5	204	204
Worth 6	168	168
Worth 9	240	240
Worth 10	258	258
Worth 11	200	200
Worth 13	240	240
Worth 15	242	242
Worth 16	137	137
Worth 22	158	158
Worth 25	156	156
Worth 26	7	7
Worth 27	153	153
Worth 28	129	129
Worth 29	167	167
Worth 31	266	266
Worth 32	146	146
Worth 33	99	99
Worth 35	183	183
Worth 36	230	230
Worth 37	149	149
Worth 38	246	246
Worth 39	208	208
Worth 40	184	184
Worth 41	149	149
Worth 45	175	175
Worth 46	212	212
Worth 48	138	138
Worth 49	108	108
Worth 51	106	106
Worth 52	95	95
Worth 54	227	227
Worth 56	181	181
Worth 57	223	223
Worth 58	91	91
Worth 60	119	119
Worth 61	150	150
Worth 62	125	125
Worth 63	175	175
Worth 67	65	65
Worth 69	256	256
Worth 70	228	228
Worth 71	107	107
Worth 72	197	197
Worth 73	96	96
Worth 75	233	233
Worth 77	200	200
Worth 78	230	230
Worth 80	220	220
Worth 81	104	104
Worth 83	17	17
Worth 84	203	203
Worth 85	193	193
Worth 87	113	113
Worth 90	202	202
Worth 91	114	114
Worth 92	183	183
Worth 93	113	113
Worth 96	217	217
Worth 98	216	216
Worth 100	210	210
