Precinct	Votes	votes|Danny K. Davis	pct|Danny K. Davis	votes|Anthony V. Clark	pct|Anthony V. Clark
01012	258	147	56.98	111	43.02
01014	48	31	64.58	17	35.42
01015	43	28	65.12	15	34.88
01032	73	46	63.01	27	36.99
02002	190	129	67.89	61	32.11
02009	147	105	71.43	42	28.57
02010	194	137	70.62	57	29.38
02011	241	170	70.54	71	29.46
02012	145	120	82.76	25	17.24
02013	209	144	68.90	65	31.10
02014	222	138	62.16	84	37.84
02017	279	186	66.67	93	33.33
02018	202	152	75.25	50	24.75
02019	170	110	64.71	60	35.29
02020	28	18	64.29	10	35.71
02021	6	3	50.00	3	50.00
02023	173	119	68.79	54	31.21
02027	179	120	67.04	59	32.96
02028	29	17	58.62	12	41.38
02029	201	131	65.17	70	34.83
02032	157	93	59.24	64	40.76
02034	237	177	74.68	60	25.32
02035	193	122	63.21	71	36.79
02036	168	116	69.05	52	30.95
02038	133	90	67.67	43	32.33
02039	133	87	65.41	46	34.59
02040	199	137	68.84	62	31.16
02041	134	95	70.90	39	29.10
02042	174	113	64.94	61	35.06
02043	214	153	71.50	61	28.50
02045	219	156	71.23	63	28.77
02046	112	83	74.11	29	25.89
03001	361	307	85.04	54	14.96
03002	392	352	89.80	40	10.20
03003	240	184	76.67	56	23.33
03004	142	123	86.62	19	13.38
03005	141	120	85.11	21	14.89
03006	265	182	68.68	83	31.32
03008	203	173	85.22	30	14.78
03009	266	221	83.08	45	16.92
03010	130	125	96.15	5	3.85
03011	253	207	81.82	46	18.18
03012	314	273	86.94	41	13.06
03013	311	218	70.10	93	29.90
03014	225	157	69.78	68	30.22
03015	245	218	88.98	27	11.02
03016	230	201	87.39	29	12.61
03017	263	201	76.43	62	23.57
03018	187	157	83.96	30	16.04
03019	259	184	71.04	75	28.96
03020	274	238	86.86	36	13.14
03021	327	272	83.18	55	16.82
03022	257	176	68.48	81	31.52
03023	174	151	86.78	23	13.22
03024	250	215	86.00	35	14.00
03025	376	265	70.48	111	29.52
03026	353	272	77.05	81	22.95
03027	268	189	70.52	79	29.48
03028	194	176	90.72	18	9.28
03029	245	216	88.16	29	11.84
03030	128	119	92.97	9	7.03
03031	284	247	86.97	37	13.03
03032	274	208	75.91	66	24.09
03033	226	146	64.60	80	35.40
03034	302	212	70.20	90	29.80
03035	6	5	83.33	1	16.67
03036	137	120	87.59	17	12.41
03037	212	173	81.60	39	18.40
03039	303	201	66.34	102	33.66
03040	280	243	86.79	37	13.21
04002	297	206	69.36	91	30.64
04004	344	303	88.08	41	11.92
04005	305	254	83.28	51	16.72
04006	388	337	86.86	51	13.14
04007	415	353	85.06	62	14.94
04008	39	35	89.74	4	10.26
04010	368	288	78.26	80	21.74
04011	148	132	89.19	16	10.81
04013	173	104	60.12	69	39.88
04014	43	38	88.37	5	11.63
04015	100	82	82.00	18	18.00
04016	327	230	70.34	97	29.66
04017	311	198	63.67	113	36.33
04020	268	176	65.67	92	34.33
04021	258	173	67.05	85	32.95
04022	12	10	83.33	2	16.67
04025	271	190	70.11	81	29.89
04028	174	143	82.18	31	17.82
04029	73	60	82.19	13	17.81
04030	42	33	78.57	9	21.43
04034	279	236	84.59	43	15.41
04035	360	302	83.89	58	16.11
04036	157	134	85.35	23	14.65
04037	365	236	64.66	129	35.34
06021	102	90	88.24	12	11.76
11002	15	11	73.33	4	26.67
11006	261	164	62.84	97	37.16
11007	172	118	68.60	54	31.40
11014	82	57	69.51	25	30.49
11030	100	61	61.00	39	39.00
11033	207	140	67.63	67	32.37
11034	95	60	63.16	35	36.84
11035	67	55	82.09	12	17.91
11036	83	52	62.65	31	37.35
11037	65	55	84.62	10	15.38
12010	34	25	73.53	9	26.47
12015	98	70	71.43	28	28.57
12018	8	6	75.00	2	25.00
15002	113	101	89.38	12	10.62
15003	122	108	88.52	14	11.48
15007	120	101	84.17	19	15.83
15013	18	16	88.89	2	11.11
15014	20	12	60.00	8	40.00
15016	2	1	50.00	1	50.00
15017	154	138	89.61	16	10.39
15018	96	89	92.71	7	7.29
15020	118	106	89.83	12	10.17
15021	132	120	90.91	12	9.09
15022	117	97	82.91	20	17.09
15023	139	126	90.65	13	9.35
15024	109	98	89.91	11	10.09
16002	161	139	86.34	22	13.66
16003	117	103	88.03	14	11.97
16004	131	107	81.68	24	18.32
16005	110	96	87.27	14	12.73
16006	149	132	88.59	17	11.41
16007	130	111	85.38	19	14.62
16008	97	77	79.38	20	20.62
16009	13	11	84.62	2	15.38
16010	122	106	86.89	16	13.11
16011	115	97	84.35	18	15.65
16012	115	102	88.70	13	11.30
16013	112	88	78.57	24	21.43
16014	117	105	89.74	12	10.26
16015	164	143	87.20	21	12.80
16016	158	146	92.41	12	7.59
16017	135	104	77.04	31	22.96
16018	133	114	85.71	19	14.29
16019	120	98	81.67	22	18.33
16020	123	107	86.99	16	13.01
16021	118	100	84.75	18	15.25
16022	113	102	90.27	11	9.73
16023	9	5	55.56	4	44.44
16024	81	71	87.65	10	12.35
16025	174	149	85.63	25	14.37
16026	137	118	86.13	19	13.87
16027	123	104	84.55	19	15.45
16029	127	105	82.68	22	17.32
16031	135	121	89.63	14	10.37
16033	125	108	86.40	17	13.60
16034	84	73	86.90	11	13.10
16035	115	78	67.83	37	32.17
16036	110	91	82.73	19	17.27
17006	92	78	84.78	14	15.22
17007	112	81	72.32	31	27.68
17008	0	0	0	0	0
17012	176	127	72.16	49	27.84
17013	170	151	88.82	19	11.18
