Precinct	total_votes	votes|David H. Moore	votes|Raynetta Greenleaf
17001	183	140	43
17002	192	119	73
17003	215	153	62
17004	265	161	104
17005	167	113	54
17006	153	103	50
17007	137	90	47
17008	143	117	26
17009	165	106	59
17010	283	181	102
17011	161	112	49
17012	231	148	83
17013	195	129	66
17014	222	171	51
17015	217	140	77
17016	170	121	49
17017	192	104	88
17018	241	168	73
17019	103	67	36
17020	275	159	116
17021	336	235	101
17022	174	116	58
17023	122	93	29
17024	259	177	82
17025	145	93	52
17026	232	144	88
17027	204	115	89
17028	172	97	75
17029	219	154	65
17030	134	99	35
17031	124	88	36
17032	153	103	50
17033	127	86	41
17034	150	110	40
17035	150	96	54
17036	214	176	38
17037	184	138	46
17038	196	111	85
17039	209	135	74
17040	228	173	55
17041	268	175	93
