Precinct	total_votes	votes|Howard B. Brookins, Jr.	votes|Marvin Mcneil	votes|Patricia A. Foster	votes|Joseph C. Ziegler, Jr.
21001	281	164	68	27	22
21002	149	72	42	20	15
21003	268	148	58	42	20
21004	218	96	85	35	2
21005	295	130	74	48	43
21006	183	60	64	43	16
21007	270	87	48	38	97
21008	244	124	59	34	27
21009	294	108	40	57	89
21010	199	90	43	35	31
21011	205	79	86	25	15
21012	222	98	84	26	14
21013	227	89	45	68	25
21014	268	131	86	25	26
21015	205	88	44	46	27
21016	213	90	47	51	25
21017	191	78	55	47	11
21018	272	134	67	39	32
21019	239	139	53	28	19
21020	201	88	44	50	19
21021	194	94	55	32	13
21022	220	104	49	47	20
21023	222	100	57	37	28
21024	250	134	47	40	29
21025	222	98	61	41	22
21026	199	82	34	69	14
21027	252	103	72	37	40
21028	276	127	55	76	18
21029	282	146	54	51	31
21030	181	69	20	85	7
21031	205	96	72	29	8
21032	239	127	34	47	31
21033	211	85	59	49	18
21034	213	102	70	30	11
21035	298	114	107	56	21
21036	229	85	48	43	53
21037	207	118	48	29	12
21038	205	96	57	40	12
21039	191	93	55	36	7
21040	228	113	72	30	13
21041	254	128	69	44	13
21042	264	119	65	34	46
21043	231	120	53	49	9
21044	240	125	83	25	7
21045	201	83	70	36	12
21046	260	133	77	37	13
21047	223	73	29	114	7
21048	229	102	47	62	18
21049	272	134	75	48	15
21050	190	77	42	44	27
21051	250	105	95	39	11
21052	238	88	54	66	30
21053	201	108	36	42	15
21054	219	126	30	54	9
