Precinct	total_votes	votes|Scott Waguespack
32001	278	278
32002	236	236
32003	331	331
32004	271	271
32005	252	252
32006	258	258
32007	237	237
32008	272	272
32009	235	235
32010	260	260
32011	274	274
32012	226	226
32013	241	241
32014	312	312
32015	265	265
32016	265	265
32017	283	283
32018	238	238
32019	242	242
32020	251	251
32021	335	335
32022	365	365
32023	292	292
32024	171	171
32025	261	261
32026	326	326
32027	263	263
32028	290	290
32029	299	299
32030	248	248
32031	263	263
32032	292	292
32033	283	283
32034	247	247
32035	257	257
32036	275	275
32037	229	229
32038	224	224
32039	281	281
32040	311	311
32041	304	304
32042	211	211
32043	265	265
