Precinct	total_votes	votes|Katie Sieracki	votes|R. Rodriguez Sanchez	votes|Deborah L. Mell
33001	365	77	201	87
33002	478	70	226	182
33003	495	81	254	160
33004	439	80	193	166
33005	319	42	141	136
33006	305	42	108	155
33007	383	64	205	114
33008	570	150	163	257
33009	425	79	124	222
33010	388	78	139	171
33011	404	59	155	190
33012	341	46	131	164
33013	338	56	155	127
33014	161	26	76	59
33015	347	27	192	128
33016	468	72	178	218
33017	389	47	178	164
33018	430	72	229	129
33019	365	62	147	156
33020	400	84	200	116
33021	378	38	151	189
33022	354	43	93	218
33023	417	82	154	181
33024	571	147	129	295
33025	425	74	149	202
33026	268	26	164	78
33027	366	60	174	132
33028	346	38	189	119
