Precinct	total_votes	votes|Tom Tunney	votes|Austin Baidas	votes|Elizabeth Shydlowski
44001	526	340	143	43
44002	389	232	91	66
44003	318	274	35	9
44004	366	260	71	35
44005	359	229	86	44
44006	437	266	116	55
44007	321	238	47	36
44008	439	262	127	50
44009	357	220	88	49
44010	312	204	68	40
44011	375	222	106	47
44012	400	265	102	33
44013	273	173	72	28
44014	294	180	83	31
44015	328	219	80	29
44016	396	253	101	42
44017	489	308	141	40
44018	312	229	47	36
44019	417	260	124	33
44020	292	176	82	34
44021	385	255	90	40
44022	423	267	107	49
44023	310	197	79	34
44024	311	243	41	27
44025	348	205	93	50
44026	418	241	139	38
44027	405	262	94	49
44028	314	189	98	27
44029	337	224	69	44
44030	440	249	149	42
44031	276	184	60	32
44032	409	266	96	47
44033	333	214	94	25
44034	409	281	101	27
44035	490	368	78	44
44036	332	196	112	24
44037	396	232	140	24
44038	299	166	86	47
44039	351	212	100	39
44040	325	218	67	40
44041	394	255	91	48
