Precinct	total_votes	votes|Michelle A. Harris	votes|Jewel Easterling-Smith	votes|Linda Hudson	votes|Faheem Shabazz
08001	215	138	5	43	29
08002	215	134	15	44	22
08003	346	241	56	38	11
08004	314	223	27	42	22
08005	308	150	87	45	26
08006	264	154	16	63	31
08007	313	196	31	32	54
08008	301	197	37	43	24
08009	167	93	18	35	21
08010	382	231	26	97	28
08011	225	150	14	30	31
08012	225	135	22	47	21
08013	266	159	22	29	56
08014	139	77	12	36	14
08015	218	145	20	34	19
08016	66	49	2	7	8
08017	244	179	13	33	19
08018	186	111	8	41	26
08019	327	205	39	46	37
08020	332	221	24	43	44
08021	322	227	12	46	37
08022	246	155	24	35	32
08023	195	139	16	31	9
08024	173	105	13	13	42
08025	220	146	9	48	17
08026	215	150	11	35	19
08027	308	185	55	42	26
08028	264	154	19	45	46
08029	310	171	12	103	24
08030	257	180	8	53	16
08031	183	121	23	26	13
08032	191	160	2	19	10
08033	265	147	23	76	19
08034	254	175	14	31	34
08035	306	161	35	97	13
08036	276	187	11	32	46
08037	229	110	16	92	11
08038	159	91	21	30	17
08039	250	194	16	23	17
08040	199	122	19	37	21
08041	272	178	13	57	24
08042	316	215	24	34	43
08043	141	99	8	19	15
08044	169	120	6	34	9
08045	173	89	19	43	22
08046	203	136	8	11	48
08047	205	154	14	29	8
08048	203	119	12	51	21
08049	232	145	12	39	36
08050	292	216	19	35	22
08051	290	185	35	48	22
08052	345	222	19	87	17
08053	140	84	6	15	35
08054	189	116	8	40	25
08055	231	183	11	29	8
08056	279	194	24	43	18
