Precinct	total_votes	votes|Howard B. Brookins, Jr.	votes|Marvin Mcneil
21001	287	190	97
21002	165	78	87
21003	285	152	133
21004	247	126	121
21005	323	150	173
21006	206	95	111
21007	295	145	150
21008	267	161	106
21009	305	179	126
21010	216	102	114
21011	237	113	124
21012	234	111	123
21013	250	135	115
21014	292	175	117
21015	222	121	101
21016	240	115	125
21017	224	105	119
21018	301	180	121
21019	274	165	109
21020	214	116	98
21021	206	101	105
21022	222	130	92
21023	242	128	114
21024	268	171	97
21025	243	125	118
21026	245	134	111
21027	248	128	120
21028	307	157	150
21029	305	187	118
21030	190	102	88
21031	211	108	103
21032	253	153	100
21033	211	89	122
21034	234	128	106
21035	327	147	180
21036	244	131	113
21037	203	132	71
21038	237	103	134
21039	194	79	115
21040	239	126	113
21041	286	161	125
21042	296	153	143
21043	260	147	113
21044	272	155	117
21045	232	109	123
21046	284	146	138
21047	231	123	108
21048	242	133	109
21049	295	153	142
21050	194	97	97
21051	252	113	139
21052	244	133	111
21053	223	131	92
21054	253	156	97
