Precinct	total_votes	votes|Leslie A. Hairston	votes|William Calloway
05001	257	93	164
05002	216	93	123
05003	345	181	164
05004	413	180	233
05005	303	125	178
05006	266	120	146
05007	347	228	119
05008	374	201	173
05009	425	270	155
05010	236	117	119
05011	393	228	165
05012	213	94	119
05013	257	125	132
05014	314	135	179
05015	302	194	108
05016	270	130	140
05017	276	138	138
05018	314	149	165
05019	354	165	189
05020	397	241	156
05021	338	176	162
05022	435	267	168
05023	575	273	302
05024	377	186	191
05025	325	169	156
05026	341	131	210
05027	323	169	154
05028	383	213	170
05029	360	134	226
05030	219	110	109
05031	240	94	146
05032	444	198	246
05033	353	175	178
05034	397	244	153
05035	432	235	197
05036	202	94	108
05037	438	244	194
05038	294	107	187
05039	278	172	106
05040	265	102	163
05041	231	149	82
