Precinct	total_votes	votes|Lori Lightfoot	votes|Toni Preckwinkle
01001	262	176	86
01002	209	135	74
01003	279	210	69
01004	282	209	73
01005	257	187	70
01006	238	176	62
01007	200	147	53
01008	265	182	83
01009	252	168	84
01010	261	209	52
01011	279	197	82
01012	337	241	96
01013	125	82	43
01014	261	202	59
01015	228	165	63
01016	301	202	99
01017	270	155	115
01018	270	161	109
01019	304	204	100
01020	198	127	71
01021	294	212	82
01022	170	124	46
01023	379	246	133
01024	216	139	77
01025	235	154	81
01026	175	114	61
01027	260	211	49
01028	93	68	25
01029	335	263	72
01030	259	161	98
01031	262	193	69
01032	275	202	73
01033	301	233	68
01034	219	148	71
01035	341	267	74
01036	279	220	59
01037	272	204	68
01038	250	191	59
01039	215	160	55
01040	282	224	58
01041	184	126	58
01042	92	66	26
01043	182	147	35
01044	220	154	66
02001	250	177	73
02002	253	203	50
02003	286	221	65
02004	210	157	53
02005	294	221	73
02006	201	152	49
02007	245	200	45
02008	262	197	65
02009	224	203	21
02010	314	253	61
02011	357	307	50
02012	308	252	56
02013	319	257	62
02014	353	271	82
02015	279	213	66
02016	234	177	57
02017	381	282	99
02018	272	209	63
02019	291	242	49
02020	232	195	37
02021	310	235	75
02022	347	296	51
02023	279	240	39
02024	289	239	50
02025	288	224	64
02026	248	212	36
02027	267	232	35
02028	268	218	50
02029	248	217	31
02030	232	197	35
02031	427	359	68
02032	181	151	30
02033	493	415	78
02034	309	266	43
02035	270	239	31
02036	290	235	55
02037	298	239	59
02038	299	253	46
02039	200	135	65
02040	289	238	51
02041	225	191	34
02042	244	187	57
02043	349	282	67
02044	203	176	27
02045	324	241	83
02046	152	124	28
03001	407	274	133
03002	454	261	193
03003	319	206	113
03004	377	245	132
03005	172	109	63
03006	388	322	66
03007	260	184	76
03008	237	158	79
03009	336	210	126
03010	128	87	41
03011	304	197	107
03012	375	240	135
03013	406	320	86
03014	323	235	88
03015	270	179	91
03016	269	181	88
03017	343	244	99
03018	414	309	105
03019	361	288	73
03020	320	194	126
03021	380	264	116
03022	356	290	66
03023	237	160	77
03024	286	179	107
03025	533	430	103
03026	448	332	116
03027	383	307	76
03028	261	177	84
03029	317	217	100
03030	289	184	105
03031	387	248	139
03032	347	240	107
03033	334	260	74
03034	367	292	75
03035	143	89	54
03036	151	100	51
03037	253	153	100
03038	325	196	129
03039	431	345	86
03040	260	194	66
03041	310	184	126
04001	437	189	248
04002	392	309	83
04003	266	129	137
04004	478	291	187
04005	399	225	174
04006	437	284	153
04007	485	296	189
04008	407	220	187
04009	480	237	243
04010	422	250	172
04011	320	198	122
04012	371	230	141
04013	254	202	52
04014	368	213	155
04015	418	237	181
04016	429	327	102
04017	394	299	95
04018	398	230	168
04019	225	161	64
04020	316	235	81
04021	329	247	82
04022	387	197	190
04023	484	187	297
04024	329	163	166
04025	388	299	89
04026	335	190	145
04027	431	215	216
04028	314	187	127
04029	313	185	128
04030	390	238	152
04031	451	199	252
04032	360	209	151
04033	354	203	151
04034	309	170	139
04035	407	221	186
04036	402	231	171
04037	469	339	130
04038	357	221	136
05001	261	167	94
05002	217	152	65
05003	357	138	219
05004	421	221	200
05005	305	182	123
05006	273	172	101
05007	355	174	181
05008	394	197	197
05009	438	177	261
05010	242	170	72
05011	409	194	215
05012	214	141	73
05013	262	169	93
05014	314	172	142
05015	307	141	166
05016	278	190	88
05017	282	161	121
05018	321	161	160
05019	364	171	193
05020	411	180	231
05021	351	172	179
05022	449	236	213
05023	594	291	303
05024	390	184	206
05025	330	204	126
05026	343	215	128
05027	334	158	176
05028	386	231	155
05029	362	216	146
05030	220	151	69
05031	240	165	75
05032	443	235	208
05033	357	218	139
05034	408	210	198
05035	446	250	196
05036	211	134	77
05037	448	223	225
05038	297	191	106
05039	287	137	150
05040	270	146	124
05041	242	125	117
06001	324	189	135
06002	303	209	94
06003	329	237	92
06004	206	152	54
06005	162	113	49
06006	321	208	113
06007	242	171	71
06008	313	192	121
06009	231	163	68
06010	149	104	45
06011	239	165	74
06012	157	108	49
06013	230	154	76
06014	264	184	80
06015	199	134	65
06016	324	209	115
06017	172	122	50
06018	178	115	63
06019	252	179	73
06020	151	115	36
06021	131	93	38
06022	157	119	38
06023	138	101	37
06024	142	91	51
06025	135	94	41
06026	165	107	58
06027	157	111	46
06028	133	80	53
06029	335	215	120
06030	211	142	69
06031	307	184	123
06032	258	180	78
06033	287	204	83
06034	273	182	91
06035	249	155	94
06036	347	205	142
06037	328	206	122
06038	315	197	118
06039	224	144	80
06040	266	176	90
06041	284	196	88
06042	266	172	94
06043	231	168	63
06044	257	174	83
06045	301	181	120
06046	186	128	58
06047	182	139	43
06048	277	182	95
07001	223	154	69
07002	215	147	68
07003	283	195	88
07004	259	190	69
07005	248	164	84
07006	344	216	128
07007	207	132	75
07008	237	156	81
07009	426	269	157
07010	295	222	73
07011	223	153	70
07012	232	165	67
07013	172	117	55
07014	248	167	81
07015	244	158	86
07016	155	110	45
07017	186	128	58
07018	219	138	81
07019	233	159	74
07020	167	125	42
07021	158	115	43
07022	192	130	62
07023	259	158	101
07024	194	125	69
07025	164	119	45
07026	194	132	62
07027	204	141	63
07028	171	108	63
07029	195	140	55
07030	160	107	53
07031	146	99	47
07032	367	227	140
07033	372	236	136
07034	320	194	126
07035	231	170	61
07036	302	193	109
07037	277	180	97
07038	196	132	64
07039	235	167	68
07040	225	155	70
07041	222	159	63
07042	203	140	63
07043	220	156	64
07044	181	125	56
07045	179	137	42
07046	125	89	36
08001	253	169	84
08002	232	153	79
08003	347	225	122
08004	338	223	115
08005	331	194	137
08006	260	159	101
08007	340	226	114
08008	301	213	88
08009	193	132	61
08010	371	226	145
08011	229	120	109
08012	230	153	77
08013	301	194	107
08014	167	114	53
08015	235	167	68
08016	74	51	23
08017	231	147	84
08018	185	125	60
08019	312	194	118
08020	333	205	128
08021	322	206	116
08022	245	167	78
08023	205	139	66
08024	171	118	53
08025	249	175	74
08026	226	144	82
08027	313	203	110
08028	267	163	104
08029	299	225	74
08030	282	188	94
08031	200	132	68
08032	205	143	62
08033	258	191	67
08034	266	184	82
08035	296	204	92
08036	304	183	121
08037	237	143	94
08038	164	108	56
08039	282	198	84
08040	208	141	67
08041	291	194	97
08042	334	201	133
08043	148	114	34
08044	180	105	75
08045	208	135	73
08046	186	115	71
08047	200	147	53
08048	226	155	71
08049	265	184	81
08050	288	194	94
08051	327	222	105
08052	356	232	124
08053	141	98	43
08054	194	129	65
08055	245	172	73
08056	282	185	97
09001	240	177	63
09002	201	148	53
09003	129	109	20
09004	191	148	43
09005	260	184	76
09006	233	158	75
09007	187	128	59
09008	212	155	57
09009	291	183	108
09010	179	143	36
09011	174	130	44
09012	299	187	112
09013	311	226	85
09014	319	229	90
09015	180	130	50
09016	217	164	53
09017	166	128	38
09018	183	134	49
09019	219	160	59
09020	251	191	60
09021	210	145	65
09022	267	164	103
09023	321	206	115
09024	280	185	95
09025	264	187	77
09026	186	127	59
09027	202	147	55
09028	106	74	32
09029	213	130	83
09030	172	125	47
09031	178	127	51
09032	252	176	76
09033	168	113	55
09034	181	127	54
09035	248	155	93
09036	193	131	62
09037	364	250	114
09038	225	152	73
09039	251	176	75
09040	293	194	99
09041	184	134	50
09042	282	191	91
09043	191	142	49
09044	209	140	69
09045	185	115	70
09046	248	176	72
09047	311	200	111
09048	299	213	86
09049	282	192	90
09050	375	263	112
09051	261	182	79
10001	213	154	59
10002	241	207	34
10003	245	209	36
10004	150	119	31
10005	190	169	21
10006	145	122	23
10007	128	111	17
10008	82	61	21
10009	228	207	21
10010	226	189	37
10011	195	158	37
10012	120	97	23
10013	175	141	34
10014	227	189	38
10015	470	316	154
10016	164	129	35
10017	300	260	40
10018	111	73	38
10019	226	199	27
10020	253	211	42
10021	189	172	17
10022	104	83	21
10023	152	125	27
10024	216	188	28
10025	68	51	17
10026	115	88	27
10027	166	121	45
10028	192	150	42
10029	151	141	10
10030	154	127	27
10031	132	110	22
10032	178	148	30
10033	127	101	26
10034	124	100	24
10035	252	217	35
10036	57	38	19
11001	279	204	75
11002	17	8	9
11003	224	134	90
11004	209	152	57
11005	306	192	114
11006	389	292	97
11007	216	156	60
11008	233	182	51
11009	212	159	53
11010	224	153	71
11011	263	205	58
11012	427	372	55
11013	342	263	79
11014	175	107	68
11015	119	105	14
11016	180	131	49
11017	323	239	84
11018	228	165	63
11019	319	222	97
11020	194	141	53
11021	402	306	96
11022	300	227	73
11023	176	140	36
11024	364	275	89
11025	357	280	77
11026	341	248	93
11027	77	55	22
11028	121	96	25
11029	341	270	71
11030	117	87	30
11031	290	239	51
11032	144	105	39
11033	297	236	61
11034	126	77	49
11035	84	58	26
11036	102	61	41
11037	87	57	30
11038	119	84	35
12001	215	163	52
12002	153	122	31
12003	300	201	99
12004	215	154	61
12005	204	161	43
12006	185	151	34
12007	134	78	56
12008	238	180	58
12009	164	128	36
12010	176	117	59
12011	161	131	30
12012	161	132	29
12013	193	149	44
12014	144	97	47
12015	152	119	33
12016	100	73	27
12017	172	127	45
12018	149	108	41
12019	198	150	48
12020	157	120	37
12021	197	146	51
12022	133	89	44
12023	216	165	51
13001	196	159	37
13002	201	172	29
13003	104	85	19
13004	214	181	33
13005	182	157	25
13006	230	206	24
13007	110	92	18
13008	155	129	26
13009	172	138	34
13010	215	193	22
13011	210	189	21
13012	162	115	47
13013	204	179	25
13014	150	126	24
13015	223	172	51
13016	103	82	21
13017	177	152	25
13018	168	141	27
13019	138	111	27
13020	153	140	13
13021	267	241	26
13022	232	209	23
13023	121	98	23
13024	157	139	18
13025	164	145	19
13026	162	142	20
13027	194	161	33
13028	124	107	17
13029	136	108	28
13030	104	80	24
13031	246	224	22
13032	199	172	27
13033	220	195	25
13034	168	136	32
13035	160	135	25
13036	101	90	11
13037	247	190	57
13038	203	183	20
13039	159	131	28
13040	170	147	23
13041	178	142	36
13042	222	204	18
13043	192	162	30
13044	144	112	32
13045	222	190	32
13046	183	149	34
13047	147	123	24
13048	188	167	21
14001	333	306	27
14002	227	188	39
14003	136	104	32
14004	226	204	22
14005	176	133	43
14006	63	51	12
14007	185	149	36
14008	176	139	37
14009	306	267	39
14010	97	80	17
14011	75	63	12
14012	177	152	25
14013	144	107	37
14014	118	87	31
14015	139	116	23
14016	131	90	41
14017	130	108	22
14018	75	60	15
14019	128	89	39
14020	87	73	14
14021	123	91	32
14022	232	192	40
14023	163	132	31
14024	294	254	40
14025	83	69	14
14026	114	90	24
14027	165	131	34
14028	111	87	24
14029	135	109	26
14030	71	61	10
14031	86	71	15
15001	279	218	61
15002	161	111	50
15003	172	126	46
15004	249	171	78
15005	249	185	64
15006	255	198	57
15007	190	130	60
15008	243	189	54
15009	311	250	61
15010	328	265	63
15011	274	194	80
15012	293	220	73
15013	231	181	50
15014	202	160	42
15015	182	142	40
15016	292	217	75
15017	194	138	56
15018	151	102	49
15019	213	154	59
15020	197	127	70
15021	161	104	57
15022	170	125	45
15023	182	136	46
15024	168	131	37
16001	186	129	57
16002	177	129	48
16003	153	107	46
16004	169	105	64
16005	115	82	33
16006	187	135	52
16007	166	118	48
16008	97	63	34
16009	186	118	68
16010	169	119	50
16011	152	116	36
16012	136	92	44
16013	112	75	37
16014	158	110	48
16015	203	134	69
16016	209	150	59
16017	132	97	35
16018	197	123	74
16019	163	112	51
16020	135	97	38
16021	158	111	47
16022	143	110	33
16023	140	106	34
16024	114	86	28
16025	225	149	76
16026	186	125	61
16027	152	112	40
16028	223	155	68
16029	164	102	62
16030	154	104	50
16031	224	164	60
16032	128	93	35
16033	169	121	48
16034	156	107	49
16035	187	143	44
16036	130	86	44
17001	165	108	57
17002	223	162	61
17003	222	166	56
17004	290	198	92
17005	169	111	58
17006	162	124	38
17007	127	95	32
