Precinct	total_votes	votes|Greg Harris
33018	237	237
39013	24	24
39022	437	437
39030	175	175
40001	441	441
40002	527	527
40003	659	659
40004	50	50
40005	575	575
40006	639	639
40007	515	515
40008	715	715
40009	404	404
40010	120	120
40011	557	557
40012	490	490
40013	809	809
40014	467	467
40015	501	501
40016	737	737
40017	423	423
40018	415	415
40019	624	624
40020	520	520
40021	627	627
40022	658	658
40023	653	653
40024	440	440
40025	641	641
40026	586	586
40027	650	650
40029	522	522
40030	407	407
40031	607	607
40032	593	593
40033	536	536
40034	456	456
40035	353	353
40036	466	466
40037	532	532
40038	668	668
40039	85	85
46001	441	441
46002	582	582
46004	569	569
46006	519	519
46008	396	396
46012	663	663
46014	595	595
46016	669	669
46020	491	491
46021	423	423
46022	422	422
46023	546	546
46025	568	568
46026	561	561
46029	47	47
46032	558	558
46037	467	467
46040	492	492
47005	495	495
47010	736	736
47015	745	745
47019	989	989
47020	621	621
47022	655	655
47023	707	707
47026	847	847
47028	518	518
47030	776	776
47031	650	650
47032	744	744
47034	636	636
47036	704	704
47037	594	594
47038	628	628
47039	25	25
47041	565	565
47042	585	585
47045	569	569
48004	557	557
48007	8	8
48014	0	0
48017	479	479
48020	407	407
48021	703	703
48023	516	516
48024	601	601
48035	332	332
48038	74	74
