Precinct	total_votes	votes|Michael J. Madigan
13001	307	307
13002	242	242
13003	316	316
13004	342	342
13005	465	465
13006	283	283
13007	296	296
13008	258	258
13009	392	392
13010	250	250
13011	351	351
13012	335	335
13013	362	362
13014	358	358
13015	545	545
13016	281	281
13017	293	293
13018	266	266
13019	500	500
13020	225	225
13021	326	326
13022	338	338
13023	308	308
13024	353	353
13025	379	379
13026	359	359
13027	324	324
13028	294	294
13029	297	297
13030	312	312
13031	348	348
13032	261	261
13033	307	307
13034	381	381
13035	344	344
13036	271	271
13037	356	356
13038	262	262
13039	359	359
13040	352	352
13041	478	478
13042	299	299
13043	357	357
13044	413	413
13045	353	353
13046	437	437
13047	456	456
13048	286	286
14003	403	403
14006	41	41
14010	0	0
14011	247	247
14015	421	421
14018	146	146
14022	363	363
14023	94	94
18015	406	406
18043	291	291
18046	243	243
23001	180	180
23002	315	315
23004	325	325
23005	403	403
23006	244	244
23007	378	378
23008	410	410
23009	371	371
23010	425	425
23011	449	449
23013	369	369
23014	42	42
23015	369	369
23017	99	99
23018	286	286
23020	234	234
23022	254	254
23023	283	283
23024	132	132
23025	69	69
23026	187	187
23028	339	339
23029	271	271
23030	441	441
23032	371	371
23033	436	436
23034	438	438
23035	231	231
23038	273	273
23039	426	426
Stickney 3	655	655
Stickney 12	2	2
Stickney 20	402	402
