Precinct	total_votes	votes|Justin Q. Slaughter
09002	60	60
09010	293	293
09017	94	94
09020	343	343
09021	338	338
09027	304	304
09030	303	303
19014	466	466
19020	367	367
19031	355	355
19040	440	440
19042	336	336
19043	603	603
19047	609	609
19048	532	532
19049	540	540
21002	191	191
21005	421	421
21006	326	326
21010	345	345
21011	372	372
21012	354	354
21017	285	285
21019	443	443
21020	141	141
21021	316	316
21022	239	239
21023	368	368
21024	414	414
21025	351	351
21027	443	443
21033	341	341
21034	167	167
21035	475	475
21036	296	296
21037	305	305
21038	401	401
21039	357	357
21040	357	357
21041	416	416
21042	307	307
21043	46	46
21044	293	293
21045	378	378
21046	419	419
21048	212	212
21049	440	440
21050	278	278
21052	51	51
34001	428	428
34002	169	169
34005	358	358
34007	438	438
34008	342	342
34010	410	410
34012	438	438
34013	403	403
34015	260	260
34017	495	495
34019	432	432
34020	155	155
34021	480	480
34025	601	601
34029	336	336
34031	37	37
34032	406	406
34034	469	469
34035	491	491
34040	436	436
34043	354	354
34044	379	379
34045	402	402
34046	282	282
34047	364	364
34048	404	404
34049	320	320
34051	191	191
34052	310	310
Bremen 64	55	55
Bremen 68	253	253
Calumet 2	331	331
Calumet 6	340	340
Orland 21	516	516
Orland 35	460	460
Palos 1	178	178
Palos 3	357	357
Palos 9	316	316
Palos 15	374	374
Palos 24	45	45
Palos 33	425	425
Worth 7	396	396
Worth 8	663	663
Worth 9	0	0
Worth 12	350	350
Worth 14	506	506
Worth 16	230	230
Worth 17	613	613
Worth 18	293	293
Worth 19	510	510
Worth 20	391	391
Worth 23	559	559
Worth 34	544	544
Worth 42	445	445
Worth 43	153	153
Worth 50	473	473
Worth 55	326	326
Worth 59	700	700
Worth 64	579	579
Worth 65	608	608
Worth 68	451	451
Worth 79	276	276
Worth 88	318	318
Worth 89	540	540
Worth 95	458	458
Worth 97	463	463
