Precinct	total_votes	votes|La Shawn K. Ford
28001	211	211
28012	300	300
28014	326	326
28031	412	412
28039	265	265
28041	226	226
28042	220	220
28043	410	410
29002	526	526
29003	434	434
29006	306	306
29008	357	357
29011	225	225
29014	364	364
29016	374	374
29018	388	388
29019	417	417
29020	404	404
29021	531	531
29022	323	323
29028	512	512
29034	308	308
29042	445	445
37001	307	307
37005	376	376
37006	365	365
37009	358	358
37010	444	444
37011	237	237
37014	374	374
37015	388	388
37016	407	407
37017	269	269
37020	327	327
37022	152	152
37023	339	339
37024	367	367
37025	319	319
37026	466	466
37027	349	349
37029	149	149
37030	252	252
37031	419	419
37032	302	302
37033	401	401
37034	316	316
37036	352	352
37038	381	381
37039	348	348
37040	387	387
37041	360	360
Berwyn Ward 7 Precinct 1	458	458
Berwyn Ward 7 Precinct 2	472	472
Berwyn Ward 7 Precinct 4	643	643
Berwyn Ward 8 Precinct 1	867	867
Berwyn Ward 8 Precinct 3	305	305
Lyons 9	643	643
Lyons 11	363	363
Lyons 15	565	565
Lyons 16	973	973
Lyons 18	476	476
Lyons 21	43	43
Oak Park 16	1,039	1,039
Oak Park 17	1,075	1,075
Oak Park 25	745	745
Oak Park 27	230	230
Oak Park 29	657	657
Oak Park 31	1,141	1,141
Oak Park 33	662	662
Oak Park 36	401	401
Proviso 8	109	109
Proviso 21	419	419
Proviso 25	616	616
Proviso 26	679	679
Proviso 32	618	618
Proviso 54	722	722
Proviso 63	647	647
Proviso 75	156	156
Proviso 76	469	469
Proviso 96	330	330
Proviso 102	676	676
Riverside 6	464	464
Riverside 7	407	407
Riverside 11	38	38
Riverside 12	393	393
Riverside 13	636	636
