Precinct	total_votes	votes|Danny K. Davis	votes|Craig Cameron	votes|Tracy Jennings
01012	861	671	135	55
01014	187	156	18	13
01015	127	103	16	8
01032	286	215	57	14
02002	498	347	130	21
02009	712	460	213	39
02010	516	330	167	19
02011	713	474	207	32
02012	327	290	20	17
02013	576	414	132	30
02014	615	479	95	41
02017	795	622	125	48
02018	644	458	162	24
02019	472	313	146	13
02020	461	323	118	20
02021	30	24	4	2
02023	466	309	131	26
02027	624	385	211	28
02028	375	262	97	16
02029	788	527	213	48
02032	608	394	195	19
02034	518	349	144	25
02035	950	616	285	49
02036	799	527	237	35
02038	512	330	163	19
02039	474	272	178	24
02040	996	659	289	48
02041	848	527	274	47
02042	792	539	216	37
02043	963	618	308	37
02045	830	589	202	39
02046	403	259	119	25
03001	793	718	15	60
03002	596	550	8	38
03003	541	455	58	28
03004	318	286	3	29
03005	352	320	12	20
03006	935	681	188	66
03008	478	420	15	43
03009	672	584	11	77
03010	306	284	7	15
03011	644	572	16	56
03012	504	464	7	33
03013	772	604	116	52
03014	748	596	96	56
03015	567	517	10	40
03016	483	436	13	34
03017	941	797	79	65
03018	611	525	28	58
03019	817	559	201	57
03020	637	571	23	43
03021	721	549	147	25
03022	932	692	188	52
03023	405	368	11	26
03024	513	456	17	40
03025	1183	839	276	68
03026	749	572	140	37
03027	853	586	210	57
03028	367	339	14	14
03029	662	591	21	50
03030	293	262	7	24
03031	690	623	10	57
03032	1064	843	174	47
03033	840	649	143	48
03034	1003	803	144	56
03035	110	90	10	10
03036	293	264	7	22
03037	526	481	11	34
03039	1309	1019	220	70
03040	659	557	72	30
04002	887	693	144	50
04004	725	654	21	50
04005	633	549	23	61
04006	729	640	54	35
04007	772	702	20	50
04008	130	120	3	7
04010	774	699	14	61
04011	377	343	8	26
04013	918	739	129	50
04014	140	124	7	9
04015	210	186	8	16
04016	1188	926	195	67
04017	798	644	102	52
04020	559	410	108	41
04021	766	600	114	52
04022	25	23	1	1
04025	869	686	141	42
04028	408	353	24	31
04029	227	209	5	13
04030	127	116	0	11
04034	565	503	20	42
04035	719	643	34	42
04036	371	336	14	21
04037	1257	977	195	85
06021	230	210	2	18
11002	50	36	11	3
11006	879	679	139	61
11007	552	420	72	60
11014	338	204	113	21
11030	320	217	85	18
11033	750	531	166	53
11034	192	117	64	11
11035	96	52	37	7
11036	269	180	69	20
11037	187	144	30	13
12010	83	75	2	6
12015	250	201	22	27
12018	244	206	20	18
15002	260	238	7	15
15003	276	250	8	18
15007	272	239	6	27
15013	66	50	12	4
15014	74	57	6	11
15016	16	12	2	2
15017	274	251	7	16
15018	248	225	9	14
15020	281	262	6	13
15021	237	210	6	21
15022	282	250	11	21
15023	303	274	13	16
15024	276	244	6	26
16002	338	299	20	19
16003	308	277	9	22
16004	400	359	17	24
16005	254	231	7	16
16006	314	296	4	14
16007	336	300	13	23
16008	255	230	7	18
16009	28	25	1	2
16010	312	285	5	22
16011	361	314	14	33
16012	313	278	16	19
16013	418	352	27	39
16014	272	245	9	18
16015	333	297	13	23
16016	301	277	8	16
16017	474	406	32	36
16018	412	354	23	35
16019	351	308	19	24
16020	266	241	10	15
16021	310	283	8	19
16022	325	292	16	17
16023	34	28	2	4
16024	176	162	8	6
16025	399	364	11	24
16026	266	239	5	22
16027	259	248	4	7
16029	296	270	10	16
16031	265	227	8	30
16033	278	257	3	18
16034	242	218	6	18
16035	354	307	27	20
16036	245	218	8	19
17006	204	184	8	12
17007	420	377	14	29
17008	19	16	2	1
17012	533	450	51	32
17013	327	307	4	16
17014	474	413	31	30
17016	111	96	6	9
