Precinct	total_votes	votes|Sophia Olazaba (Warren)	votes|Will Guzzardi (Warren)	votes|Venu Gupta (Warren)	votes|Omar Aquino (Warren)	votes|Abby Witt (Warren)	votes|Emanuel ''Chris'' Welch (Biden)	votes|Claudia P. Rodriguez (Biden)	votes|Juan Jose Gonzalez (Biden)	votes|Angelica Alfaro (Biden)	votes|Alma Anaya (Sanders)	votes|Melissa Rubio (Sanders)	votes|Shana East (Sanders)	votes|Byron Sigcho-Lopez (Sanders)	votes|Colin Bird-Martinez (Sanders)	votes|Jesus Ayala, Jr. (Yang)	votes|Bridget Flynn (Yang)	votes|Melissa Strube (Yang)	votes|Peter Gariepy (Buttigieg)
01001	1466	38	23	22	25	33	100	113	99	101	191	185	168	163	154	5	10	7	29
01002	1219	23	22	9	13	16	45	63	54	50	192	201	172	167	161	9	3	7	12
01007	1120	23	42	15	13	13	58	70	61	61	154	154	141	136	133	7	4	6	29
01009	990	24	23	9	11	13	64	63	65	63	142	133	122	119	112	9	2	4	12
01013	640	16	24	9	13	14	47	48	43	44	80	77	69	68	65	5	1	2	15
01015	759	27	15	14	18	13	48	52	45	44	96	100	86	84	78	8	8	9	14
01016	1784	55	62	32	42	37	109	123	113	104	228	237	201	196	188	17	6	6	28
01017	1314	30	34	21	30	24	61	65	62	59	192	190	162	175	163	11	11	11	13
01018	1334	37	20	23	25	28	49	53	48	48	205	206	193	187	177	10	5	7	13
01019	1685	44	43	32	32	36	89	102	89	90	232	228	211	205	199	8	11	7	27
01020	1287	27	27	20	28	15	55	70	64	56	196	193	173	169	163	9	1	1	20
01022	873	15	14	10	13	8	47	55	48	47	125	125	117	114	103	4	5	6	17
01023	2243	51	73	33	35	43	109	124	114	112	330	316	295	282	274	10	9	6	27
01024	1249	26	14	12	19	25	45	49	45	45	209	195	185	175	172	9	8	6	10
01025	1282	38	19	23	21	26	61	60	57	51	193	185	181	176	164	5	8	3	11
01026	911	22	13	14	21	10	37	42	33	42	140	142	118	122	117	14	10	7	7
01027	1467	35	29	23	33	35	137	148	134	139	155	149	135	131	122	11	10	7	34
01029	1819	66	32	33	33	43	150	169	146	153	202	195	179	162	158	22	15	8	53
01030	1673	40	30	26	37	34	82	93	91	84	245	249	218	215	199	7	4	3	16
01031	1007	27	18	14	21	17	65	64	61	60	141	127	120	116	118	7	5	7	19
01034	1269	26	37	18	18	22	67	69	62	59	185	182	165	161	157	12	11	5	13
01038	810	24	14	16	22	11	34	47	34	32	111	113	110	105	104	8	7	3	15
01041	915	23	41	18	16	19	54	54	56	51	115	121	105	109	102	3	5	5	18
01042	380	11	10	7	8	9	17	23	22	22	55	46	44	45	44	5	1	1	10
01043	851	23	30	12	13	18	60	63	65	60	102	106	90	92	81	7	8	6	15
01044	1219	33	13	14	17	18	72	84	73	71	166	164	156	143	136	10	9	13	27
11003	1203	28	16	15	22	21	48	68	56	51	191	174	155	171	150	13	5	3	16
11037	5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
11038	625	14	10	10	7	12	32	31	28	28	93	90	85	88	80	6	3	2	6
12002	770	13	8	7	17	10	47	59	60	48	114	103	81	88	79	14	8	9	5
12003	331	7	4	5	7	6	20	19	21	18	39	41	40	42	39	9	4	5	5
12005	590	10	4	6	14	5	57	64	61	59	69	54	48	53	45	13	9	6	13
12006	1067	19	10	5	21	14	67	88	81	73	143	140	116	128	110	21	7	9	15
12007	1006	19	10	9	19	8	28	40	37	38	176	163	137	150	131	25	4	7	5
12008	1052	26	3	6	14	16	88	109	101	95	131	111	88	99	90	31	11	18	15
12010	1101	20	7	7	18	11	26	37	39	31	204	193	153	166	148	22	7	5	7
12011	969	25	6	9	23	10	54	67	60	49	152	130	97	116	108	31	11	9	12
12012	887	25	9	7	16	2	54	71	66	59	132	114	93	97	93	19	7	10	13
12013	876	23	2	10	21	8	46	60	62	52	140	120	96	100	92	27	3	8	6
12014	773	14	12	7	15	3	38	49	47	41	134	116	89	99	82	18	3	3	3
12015	415	9	3	2	10	1	18	25	26	19	70	66	45	52	50	7	2	6	4
12016	711	15	4	9	18	11	36	45	49	35	114	111	82	82	69	17	3	6	5
12017	940	12	6	8	21	9	54	69	63	67	141	124	102	108	105	21	10	8	12
12018	407	1	2	2	4	2	10	22	16	20	71	69	59	60	59	5	1	1	3
12019	5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
12020	862	11	6	7	13	9	43	48	59	50	148	122	97	103	100	23	5	6	12
12021	1021	26	14	11	20	14	59	67	64	55	143	132	122	116	119	20	16	12	11
12022	934	18	7	7	15	10	29	48	37	31	172	162	127	122	117	16	5	8	3
14002	1173	18	12	13	20	15	60	82	75	70	174	165	130	147	138	19	11	11	13
14003	696	10	5	2	13	7	36	41	46	34	126	102	86	91	78	10	2	5	2
14005	654	16	5	3	15	5	43	47	50	46	121	87	62	67	58	14	2	4	9
14006	421	10	2	5	4	3	20	29	27	23	74	68	48	47	47	9	2	2	1
14010	583	14	6	4	10	8	25	30	39	35	95	79	69	76	63	12	5	5	8
14011	472	7	2	4	9	3	25	34	35	30	73	71	49	57	48	15	4	4	2
14013	815	23	6	5	16	8	49	60	54	52	111	116	90	94	88	16	6	8	13
14014	920	16	6	3	10	10	42	63	50	55	159	138	109	118	105	21	3	6	6
14015	893	18	6	8	11	9	37	45	52	36	151	141	111	124	103	19	6	5	11
14016	668	16	10	13	10	9	39	48	52	45	102	87	66	71	66	17	5	6	6
14017	673	11	5	1	14	4	33	49	47	32	108	102	81	79	81	13	3	7	3
14019	699	11	3	6	14	10	42	56	48	39	109	94	75	81	76	20	5	6	4
14020	640	11	7	5	14	12	47	46	43	43	98	79	67	65	67	15	5	8	8
14025	499	7	6	10	8	4	19	30	29	27	85	73	59	63	57	13	0	3	6
14027	968	17	5	10	17	16	46	61	64	53	148	142	115	120	109	11	11	12	11
14028	621	13	9	2	9	8	32	47	45	32	94	86	67	77	73	15	2	7	3
14030	531	13	3	2	8	2	11	19	23	16	97	86	77	81	78	11	0	3	1
14031	541	9	4	4	7	3	24	35	32	23	87	85	66	68	65	18	3	3	5
15001	149	2	0	0	3	0	5	6	8	5	28	24	18	19	22	7	0	1	1
15004	786	16	6	5	12	11	34	52	50	47	135	112	86	100	87	18	6	4	5
15005	504	6	3	2	9	5	25	36	31	32	85	73	60	61	54	12	2	4	4
15006	784	19	7	5	11	7	30	44	39	34	137	123	95	103	100	14	8	6	2
15008	411	7	1	1	9	5	14	17	15	14	74	71	57	61	55	6	1	1	2
15009	925	17	5	8	18	11	36	51	53	41	153	141	118	122	113	20	6	7	5
15010	1055	22	6	11	19	13	47	80	66	63	168	146	111	132	108	28	13	11	11
15011	815	20	8	3	16	6	48	71	60	57	139	109	77	80	78	16	9	11	7
15012	863	25	9	12	11	12	42	53	55	46	157	124	94	94	91	17	4	5	12
15015	232	5	2	1	3	4	11	11	11	12	43	37	30	33	25	3	0	1	0
16001	257	8	3	2	6	5	14	19	17	17	37	31	29	30	31	3	2	0	3
22003	1091	22	7	11	19	13	32	60	57	37	188	181	139	146	142	24	4	4	5
22004	630	10	6	3	14	5	28	48	36	36	108	92	65	79	71	21	2	5	1
22005	698	12	2	4	15	4	20	41	33	31	119	116	91	98	92	11	1	4	4
22006	802	18	3	3	10	6	28	46	50	32	142	131	107	101	94	18	0	7	6
22007	564	13	5	5	14	7	37	49	42	43	86	69	57	61	56	12	0	5	3
22009	540	12	4	3	11	3	16	27	33	20	94	87	67	78	68	13	0	2	2
22010	1017	22	8	5	20	10	54	74	76	64	167	141	106	118	111	22	4	11	4
22011	703	9	2	4	11	6	28	32	34	27	123	122	95	98	84	18	3	5	2
22013	800	19	5	9	10	6	35	54	44	45	136	124	91	104	93	15	1	6	3
22014	280	9	2	3	6	3	3	9	10	9	51	47	39	44	36	7	1	1	0
22015	612	17	6	2	20	1	19	35	33	27	103	95	80	78	72	17	1	4	2
22016	609	12	6	4	12	9	36	45	43	35	100	83	65	72	71	7	2	3	4
22017	870	21	5	8	13	6	26	52	47	47	155	127	97	110	94	32	5	17	8
22018	575	11	3	5	12	1	24	34	39	37	96	81	63	74	65	18	5	0	7
22019	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
22020	883	18	4	2	18	8	26	40	47	26	152	139	121	134	120	16	3	5	4
22022	742	11	5	4	11	8	24	39	30	26	126	116	100	109	105	18	3	5	2
22024	953	17	4	4	13	11	51	63	61	52	151	141	122	121	117	15	2	3	5
22025	780	20	5	7	17	2	17	35	40	25	137	129	100	108	95	25	4	7	7
23009	381	10	3	0	10	4	24	35	36	23	57	49	33	44	39	9	0	1	4
23013	652	9	6	3	10	4	29	40	38	31	114	95	73	89	79	14	4	6	8
23015	31	2	2	1	1	1	3	3	3	3	3	1	1	3	1	0	1	1	1
23024	581	11	1	3	6	3	49	58	65	49	79	64	51	57	54	13	5	3	10
23026	313	7	4	4	5	2	13	25	20	21	49	49	37	36	32	6	0	2	1
23034	353	8	3	3	9	2	22	26	25	20	52	50	36	43	38	8	3	3	2
23039	674	13	4	4	7	4	40	49	50	42	105	93	78	81	83	11	2	2	6
24016	611	9	2	5	8	3	19	29	29	21	101	94	81	94	85	19	3	2	7
25001	947	23	3	5	11	3	51	61	54	56	155	128	116	140	111	15	1	4	10
25002	1481	26	18	14	26	19	51	54	51	50	257	225	207	254	201	11	3	7	7
25005	1279	13	7	7	21	15	69	80	77	71	199	179	149	192	156	18	8	3	15
25007	1283	29	11	15	19	15	37	49	48	37	208	206	176	217	171	18	9	6	12
25008	1389	38	22	26	30	27	63	78	71	62	209	192	162	205	165	13	5	6	15
25009	1115	25	9	16	19	18	41	60	54	49	177	171	136	170	139	12	7	7	5
25011	1311	37	21	16	34	23	45	53	51	46	203	195	166	215	161	21	7	8	9
25012	1232	29	11	16	19	15	38	62	54	51	195	181	156	202	154	18	12	10	9
25013	1329	33	16	18	21	19	46	55	47	46	211	199	178	223	173	21	10	5	8
25014	78	3	1	1	2	1	3	2	1	1	13	12	10	13	10	2	0	0	3
25015	971	10	3	4	9	9	41	59	59	50	156	136	126	154	121	15	8	6	5
25017	1175	38	16	21	26	13	69	76	69	69	164	146	123	162	120	33	9	7	14
25019	1359	28	12	12	15	14	37	50	48	49	233	215	196	222	190	16	8	9	5
25022	1138	27	11	12	16	10	29	37	32	36	195	179	163	203	154	20	2	4	8
25023	1323	28	9	17	18	16	69	82	77	68	202	182	146	214	160	16	7	6	6
25024	1314	22	18	12	17	14	43	56	60	51	204	204	171	231	169	21	3	5	13
25026	1235	20	10	8	22	11	52	67	68	67	194	183	153	197	149	22	3	2	7
25027	137	1	0	0	0	2	12	12	11	13	17	17	14	18	15	2	1	1	1
25028	1319	22	9	7	13	9	44	57	47	50	209	208	185	236	182	14	10	9	8
25030	1187	29	13	18	22	16	29	47	41	34	200	185	151	206	156	22	7	5	6
25032	880	18	12	12	21	12	49	58	49	45	127	117	98	119	96	20	10	9	8
26001	548	16	20	16	23	17	33	35	35	32	68	64	57	56	53	7	3	2	11
26002	763	11	12	6	20	11	31	33	37	27	117	124	107	105	101	9	3	4	5
26005	945	24	13	5	15	16	51	57	59	51	135	141	122	123	111	9	2	2	9
26006	753	24	13	10	25	16	32	45	33	34	109	113	89	90	85	15	5	8	7
26007	1098	33	41	20	22	23	36	49	41	38	170	163	157	148	138	2	3	4	10
26008	468	12	10	8	20	7	22	29	24	26	62	75	55	49	46	9	2	5	7
26009	668	18	5	9	27	12	35	45	38	33	94	95	81	80	75	11	2	0	8
26010	245	4	2	1	4	1	8	13	14	12	35	38	33	35	32	5	2	3	3
26011	815	17	10	7	22	8	52	63	59	59	113	109	92	98	89	5	0	4	8
26012	1096	23	18	12	25	16	44	54	51	49	164	161	151	150	143	18	4	3	10
26013	375	8	2	3	13	4	32	38	38	31	42	49	35	38	33	6	1	1	1
26014	716	19	8	7	20	8	26	36	38	28	114	109	91	98	87	12	1	7	7
