Precinct	total_votes	votes|Steve Hagerty (Buttigieg)	votes|Markus Pitchford (Buttigieg)	votes|Kostas Poulakidas (Buttigieg)	votes|Greg Schweizer (Buttigieg)	votes|Debra Shore (Buttigieg)	votes|Carolyn Townsend (Sanders)	votes|Cortney Ritsema (Sanders)	votes|Margaret ''Meg'' Welch (Sanders)	votes|Michelle L. Oxman (Sanders)	votes|Amarzaya Makhbal (Sanders)	votes|Anub Abraham (Sanders)	votes|Michael J. Harrington (Sanders)	votes|Ryan McIntyre (Sanders)	votes|Janice Berman-Krautwald (Yang)	votes|John Lee Bingham (Yang)	votes|Molly Bosi (Yang)	votes|Stuart Reid (Yang)	votes|Chase Rawlins (Yang)	votes|Vasilios Stefanis (Yang)	votes|Daniel Biss (Warren)	votes|Josina Morita (Warren)	votes|Daniel J. Montgomery (Warren)	votes|Kelly M. Cassidy (Warren)	votes|Ilya Sheyman (Warren)	votes|Miguel Moreno (Warren)	votes|Leo Smith (Warren)	votes|Leni Manaa-Hoppenworth (Warren)	votes|Christopher J. Dunn (Biden)	votes|Jill Wine-Banks (Biden)	votes|David Y. Ko (Biden)	votes|Aurora Austriaco (Biden)	votes|Martin Moylan (Biden)	votes|Marcia Blumenthal Fields (Biden)	votes|Jane Hannemann (Klobuchar)	votes|David Campbell (Klobuchar)	votes|Joe Shepherd (Klobuchar)	votes|John Fitzgerald (Klobuchar)	votes|Hope R. Green (Klobuchar)	votes|Catherine Marquis (Klobuchar)	votes|Christie Ann Hefner (Klobuchar)	votes|Jacob (Jake) Riley (Klobuchar)
40004	1010	5	4	10	8	10	65	60	63	61	62	61	59	53	5	5	2	4	4	4	16	10	12	16	8	11	7	10	55	58	57	58	55	56	8	6	2	9	3	2	3	3
40009	1339	12	7	10	7	19	91	84	94	90	84	78	77	76	9	2	5	2	5	3	15	15	14	24	11	26	13	16	71	66	67	68	71	63	13	8	4	7	3	5	2	2
40010	1372	14	12	13	9	13	103	101	100	95	103	99	100	80	6	4	7	4	2	6	20	19	14	15	15	22	17	18	55	57	56	57	56	51	9	6	1	1	2	6	3	1
40018	1580	22	15	15	14	24	95	94	98	92	89	87	86	78	9	15	10	9	11	9	21	23	15	27	20	20	20	22	70	80	78	76	73	73	19	13	10	13	8	12	7	8
40022	2745	42	33	22	31	45	172	161	155	166	167	164	153	139	5	5	7	7	4	5	33	34	34	55	43	39	36	47	146	154	152	151	140	146	19	6	3	3	7	5	7	2
40025	551	5	3	2	2	6	37	37	40	42	36	34	33	30	0	0	1	0	0	0	12	12	8	16	10	9	6	10	22	27	21	24	23	26	5	4	1	1	2	1	1	2
40026	2974	37	26	23	21	35	201	191	195	194	194	186	181	172	9	1	9	3	3	8	35	34	35	45	42	38	32	40	155	164	156	154	149	137	14	11	5	9	9	6	7	8
40027	2941	31	29	28	22	25	214	205	211	205	197	188	188	171	14	9	8	12	8	10	48	51	43	58	42	46	35	40	127	130	127	132	117	118	14	10	2	4	6	5	7	4
40028	2640	23	22	11	16	21	186	182	189	189	185	180	178	165	10	5	7	7	5	8	39	36	32	59	35	40	26	32	120	131	117	123	110	109	13	10	1	2	5	6	4	1
40031	2431	31	24	19	18	26	152	146	151	156	146	144	143	136	9	7	9	7	6	8	43	38	29	45	33	36	26	37	120	128	118	125	120	120	21	13	2	3	14	10	9	3
40033	2573	25	25	11	9	23	155	151	156	150	149	145	141	133	6	4	7	3	3	4	44	41	42	57	40	41	30	39	146	150	151	142	136	138	22	14	2	4	12	7	12	3
40035	855	10	5	4	3	5	56	60	59	61	58	56	49	49	0	0	2	1	2	2	4	5	6	11	4	11	10	13	43	50	43	50	44	46	8	5	2	1	3	5	7	2
40036	2083	32	22	15	16	19	106	109	100	103	101	96	94	90	7	4	4	9	2	5	31	25	23	36	26	33	22	30	140	146	148	147	142	134	25	15	4	3	5	4	6	4
40037	2138	28	26	18	16	25	141	137	141	138	135	134	129	124	6	4	6	3	3	1	21	28	21	34	26	30	19	27	108	118	109	115	104	100	18	13	8	6	5	5	6	2
40039	469	10	5	3	4	9	38	39	41	42	38	36	34	31	2	3	2	1	0	0	2	2	3	8	4	9	3	4	15	14	16	15	15	11	3	5	1	0	0	0	0	1
41001	1288	18	9	6	8	9	62	59	67	63	60	57	64	52	4	3	6	5	4	3	8	3	9	13	9	6	8	7	101	96	97	99	104	97	15	16	6	8	6	5	9	7
41002	1396	21	12	17	13	19	53	52	56	51	53	52	54	47	7	7	13	10	8	10	5	7	8	11	10	10	8	15	115	114	117	114	112	95	18	12	7	15	7	17	13	11
41004	1587	20	19	10	17	24	53	49	49	48	46	52	51	46	10	9	8	9	4	7	11	10	15	18	16	12	13	11	147	151	143	141	150	133	29	18	5	7	7	7	7	5
41005	1760	25	20	15	15	20	90	84	89	79	81	82	84	73	8	8	7	8	9	8	7	11	13	21	16	13	13	16	131	132	126	132	130	121	15	8	5	10	7	8	15	5
41007	1556	25	19	12	16	19	65	58	66	61	54	51	50	51	6	4	10	6	7	4	12	12	11	19	10	12	15	15	129	128	122	130	121	112	27	18	10	11	17	12	14	15
41008	1588	21	11	11	16	23	80	77	85	80	79	79	81	69	5	10	11	8	4	5	10	17	16	21	15	15	13	12	112	111	112	111	106	95	20	16	6	7	7	2	6	3
41010	1795	32	26	18	19	21	62	60	66	59	62	53	56	48	7	3	5	5	5	5	12	10	12	18	8	8	9	12	168	167	161	158	171	141	32	25	8	16	14	10	14	9
