Precinct	total_votes	votes|Deval Patrick	votes|Bernie Sanders	votes|Joseph R. Biden	votes|Michael R. Bloomberg	votes|Elizabeth Warren	votes|Pete Buttigieg	votes|Tom Steyer	votes|Andrew Yang	votes|Michael Bennet	votes|John K. Delaney	votes|Tulsi Gabbard	votes|Cory Booker
01001	383	1	243	129	5	5	0	0	0	0	0	0	0
01002	310	1	233	71	3	2	0	0	0	0	0	0	0
01003	379	0	190	180	0	8	0	0	1	0	0	0	0
01004	345	1	179	157	2	5	0	0	0	0	0	1	0
01005	358	0	188	162	3	4	0	0	0	1	0	0	0
01006	305	0	159	133	3	4	0	0	4	0	1	1	0
01007	266	0	183	81	1	1	0	0	0	0	0	0	0
01008	277	0	141	123	5	2	0	0	1	1	1	1	2
01009	257	0	170	81	0	3	0	0	1	0	0	1	1
01010	394	0	184	205	1	2	0	0	1	0	0	1	0
01011	391	0	211	170	0	7	2	0	0	0	0	0	1
01012	439	0	308	125	1	3	1	0	1	0	0	0	0
01013	166	1	107	52	2	2	0	0	1	0	0	1	0
01014	343	0	168	167	1	5	0	0	0	0	0	2	0
01015	261	0	167	84	2	6	0	0	1	0	1	0	0
01016	432	1	282	133	3	8	3	0	1	0	0	1	0
01017	340	1	251	78	2	6	1	0	1	0	0	0	0
01018	333	0	249	76	0	5	1	1	0	0	0	1	0
01019	367	0	253	100	0	7	0	0	1	2	0	4	0
01020	331	1	242	79	2	6	0	0	0	1	0	0	0
01021	459	0	227	219	2	6	0	0	2	1	0	2	0
01022	222	0	145	74	0	2	1	0	0	0	0	0	0
01023	541	0	386	144	1	7	0	0	1	0	0	2	0
01024	340	0	254	78	1	3	0	1	0	0	1	2	0
01025	321	0	231	82	2	4	1	0	0	0	1	0	0
01026	246	0	187	54	0	4	0	0	0	0	0	1	0
01027	378	1	189	175	2	5	2	0	3	0	0	1	0
01028	111	0	69	39	0	1	0	0	0	0	2	0	0
01029	452	1	238	200	1	9	0	0	3	0	0	0	0
01030	411	0	283	112	2	12	0	0	0	0	0	2	0
01031	240	1	153	79	2	3	0	1	1	0	0	0	0
01032	313	0	183	117	0	9	0	0	0	0	0	4	0
01033	375	1	185	179	3	5	1	0	1	0	0	0	0
01034	305	0	212	84	0	5	1	0	1	0	0	2	0
01035	381	0	196	165	2	12	1	0	2	0	0	2	1
01036	351	0	177	161	3	7	0	0	2	0	0	1	0
01037	285	0	149	127	2	4	0	0	1	0	0	2	0
01038	257	0	163	81	6	4	3	0	0	0	0	0	0
01039	245	0	136	101	2	2	2	0	2	0	0	0	0
01040	339	0	183	136	8	5	1	1	3	1	0	1	0
01041	234	0	157	73	0	3	0	0	1	0	0	0	0
01042	97	0	67	28	1	1	0	0	0	0	0	0	0
01043	215	0	129	80	1	2	1	0	1	0	0	1	0
01044	311	0	203	101	2	3	2	0	0	0	0	0	0
02001	359	0	212	134	1	8	0	0	0	0	0	4	0
02002	223	0	33	179	3	2	3	0	0	0	1	2	0
02003	386	0	190	182	0	8	1	1	2	0	0	1	1
02004	318	0	191	119	0	5	1	0	1	0	0	1	0
02005	391	0	232	146	1	9	0	0	1	0	0	2	0
02006	318	0	211	97	0	8	0	0	0	0	0	2	0
02007	260	0	141	111	3	2	1	0	1	0	0	0	1
02008	355	0	206	139	1	6	1	0	0	0	0	2	0
02009	229	0	55	160	4	4	1	0	0	0	0	5	0
02010	191	0	25	156	2	3	2	0	0	0	0	3	0
02011	320	0	44	260	8	4	1	0	0	2	0	1	0
02012	350	0	82	254	5	4	2	0	0	0	0	2	1
02013	319	0	47	259	2	5	3	0	0	0	0	3	0
02014	423	0	268	143	3	6	1	0	1	0	0	1	0
02015	323	0	152	159	1	7	1	0	1	0	0	1	1
02016	286	0	137	136	4	6	3	0	0	0	0	0	0
02017	432	0	243	178	2	3	4	0	1	0	0	1	0
02018	306	0	73	221	2	3	2	0	1	0	0	4	0
02019	147	0	35	105	3	3	1	0	0	0	0	0	0
02020	316	0	89	209	3	6	6	0	2	0	0	0	1
02021	355	0	194	147	2	7	4	0	0	0	0	1	0
02022	333	0	66	256	3	5	2	0	0	0	0	1	0
02023	235	0	20	202	10	1	1	0	0	0	0	1	0
02024	239	0	55	173	5	2	1	0	1	0	0	2	0
02025	368	0	190	166	3	6	1	0	2	0	0	0	0
02026	265	1	84	167	5	4	1	0	1	0	0	2	0
02027	272	0	63	196	2	3	1	0	0	0	0	7	0
02028	311	0	93	204	6	5	0	0	0	0	0	3	0
02029	322	1	104	198	7	3	5	0	0	0	0	3	1
02030	242	0	47	184	4	5	1	0	0	0	0	1	0
02031	385	0	63	304	11	4	1	0	0	0	0	1	1
02032	222	0	79	132	6	2	2	0	0	0	0	1	0
02033	505	0	90	395	8	5	6	0	0	0	0	1	0
02034	262	0	36	204	12	5	4	0	0	0	0	1	0
02035	337	1	70	251	4	5	3	0	1	0	0	1	1
02036	299	0	82	202	2	8	2	0	1	0	0	2	0
02037	318	0	75	227	10	4	1	0	0	0	0	1	0
02038	282	1	51	218	3	1	3	0	1	0	1	3	0
02039	169	0	57	101	8	1	0	0	1	0	0	1	0
02040	275	0	86	179	1	5	3	0	0	0	0	1	0
02041	265	0	74	179	5	3	1	1	1	0	0	1	0
02042	299	0	98	189	4	2	1	0	1	0	0	4	0
02043	334	0	63	256	4	4	2	0	1	0	0	4	0
02044	193	0	43	147	1	2	0	0	0	0	0	0	0
02045	330	0	110	198	6	8	2	0	1	1	0	3	1
02046	196	0	72	108	3	9	2	0	0	1	0	0	1
03001	391	0	127	241	12	8	0	0	0	0	0	0	3
03002	457	0	95	331	13	9	1	0	2	2	0	0	4
03003	210	1	64	135	3	2	0	2	1	0	1	0	1
03004	390	0	95	281	6	5	0	0	0	2	0	0	1
03005	185	0	69	108	5	2	0	0	0	0	0	0	1
03006	431	0	132	276	4	13	4	0	0	0	0	2	0
03007	241	0	47	182	5	4	0	0	0	0	0	0	3
03008	226	0	82	131	6	3	1	0	0	0	2	0	1
03009	384	0	137	235	7	2	1	0	0	0	0	0	2
03010	140	0	35	100	2	1	0	0	0	1	0	0	1
03011	314	0	93	213	3	4	0	0	1	0	0	0	0
03012	365	0	98	251	3	4	2	0	1	1	0	0	5
03013	408	0	100	300	2	5	1	0	0	0	0	0	0
03014	387	1	157	211	1	9	2	0	1	1	1	3	0
03015	261	1	85	166	2	4	0	2	0	0	1	0	0
03016	266	0	77	178	4	3	0	1	0	2	0	1	0
03017	459	0	200	247	0	8	2	0	1	1	0	0	0
03018	429	2	157	248	8	4	1	1	0	5	0	1	2
03019	367	0	75	273	5	5	2	0	5	0	0	2	0
03020	371	0	132	224	6	6	0	0	0	2	0	0	1
03021	383	0	81	285	10	4	2	0	0	1	0	0	0
03022	431	0	189	221	0	9	6	0	2	0	0	4	0
03023	240	1	68	152	10	2	0	1	1	1	1	1	2
03024	264	0	96	151	8	3	1	2	2	1	0	0	0
03025	552	0	131	399	8	9	3	0	0	0	0	2	0
03026	405	0	99	288	7	10	1	0	0	0	0	0	0
03027	406	0	130	249	5	7	5	0	1	0	0	9	0
03028	230	4	49	166	5	3	0	0	2	1	0	0	0
