Precinct	total_votes	votes|Yehiel ''Mark'' Kalish	votes|Denyse Wang Stoneback	votes|Kevin Olickal
40004	128	35	59	34
40010	193	42	89	62
40029	0	0	0	0
40035	0	0	0	0
40039	53	16	27	10
50001	378	269	87	22
50002	209	130	56	23
50003	314	201	84	29
50004	285	102	125	58
50005	238	191	37	10
50006	255	92	119	44
50007	345	42	195	108
50008	31	4	20	7
50009	219	68	98	53
50010	263	173	55	35
50011	317	291	20	6
50012	117	58	44	15
50013	206	49	99	58
50014	101	57	35	9
50015	356	55	218	83
50016	90	56	29	5
50017	241	120	64	57
50018	71	62	8	1
50019	141	29	71	41
50020	251	46	120	85
50021	224	59	96	69
50022	264	176	56	32
50023	168	101	38	29
50025	266	178	53	35
50026	165	47	76	42
50027	85	39	28	18
50028	197	47	93	57
50029	148	41	66	41
50030	149	32	57	60
50031	246	59	111	76
50032	211	53	94	64
50033	331	257	60	14
50034	420	171	158	91
50035	333	64	181	88
50036	272	45	128	99
50037	275	62	151	62
50038	123	61	50	12
50039	153	92	40	21
50040	432	383	38	11
Niles 4	226	87	74	65
Niles 5	236	142	69	25
Niles 6	119	42	55	22
Niles 10	313	45	148	120
Niles 12	186	30	108	48
Niles 15	289	49	162	78
Niles 16	368	62	182	124
Niles 17	390	53	219	118
Niles 20	268	36	137	95
Niles 24	290	35	169	86
Niles 25	198	14	74	110
Niles 26	162	49	64	49
Niles 27	213	43	115	55
Niles 29	269	136	106	27
Niles 30	207	50	98	59
Niles 33	253	44	172	37
Niles 34	270	50	145	75
Niles 35	303	52	144	107
Niles 39	378	55	214	109
Niles 40	130	17	82	31
Niles 41	334	56	165	113
Niles 42	284	23	119	142
Niles 44	341	38	225	78
Niles 46	266	77	125	64
Niles 51	156	40	89	27
Niles 52	221	55	109	57
Niles 55	228	23	142	63
Niles 56	354	72	167	115
Niles 57	358	49	139	170
Niles 58	299	33	127	139
Niles 61	371	42	174	155
Niles 63	411	45	298	68
