Precinct	total_votes	votes|Thaddeus Jones	votes|DeAndre Tillman
09003	139	67	72
09004	57	34	23
09007	132	75	57
09011	156	93	63
09015	188	83	105
09016	247	157	90
09018	157	82	75
09026	189	116	73
09028	76	53	23
09031	11	9	2
09033	162	101	61
09041	194	117	77
09044	172	94	78
09045	161	102	59
Bloom 6	0	0	0
Bloom 7	232	148	84
Bloom 8	165	92	73
Bloom 9	138	75	63
Bloom 10	90	53	37
Bloom 11	121	68	53
Bloom 21	49	30	19
Bloom 24	324	164	160
Bloom 26	2	2	0
Bloom 29	102	56	46
Bloom 33	293	168	125
Bloom 34	172	108	64
Bloom 37	207	112	95
Bloom 45	453	144	309
Bloom 48	223	141	82
Bloom 49	367	184	183
Bloom 60	259	163	96
Thornton 6	387	169	218
Thornton 7	315	132	183
Thornton 8	260	130	130
Thornton 20	140	89	51
Thornton 21	410	246	164
Thornton 22	226	117	109
Thornton 23	250	168	82
Thornton 27	423	194	229
Thornton 34	179	89	90
Thornton 37	262	147	115
Thornton 40	183	86	97
Thornton 41	161	91	70
Thornton 45	274	152	122
Thornton 48	248	125	123
Thornton 53	175	91	84
Thornton 54	424	248	176
Thornton 55	194	105	89
Thornton 64	302	160	142
Thornton 66	451	232	219
Thornton 72	260	140	120
Thornton 73	384	194	190
Thornton 74	279	109	170
Thornton 75	261	128	133
Thornton 76	339	194	145
Thornton 80	290	139	151
Thornton 81	252	136	116
Thornton 82	158	109	49
Thornton 83	341	183	158
Thornton 84	376	177	199
Thornton 86	237	144	93
Thornton 87	401	205	196
Thornton 88	305	152	153
Thornton 89	402	180	222
Thornton 90	301	181	120
Thornton 91	289	146	143
Thornton 92	313	176	137
Thornton 100	146	84	62
Thornton 105	234	132	102
Thornton 112	6	6	0
Thornton 115	290	173	117
Thornton 121	212	127	85
Thornton 122	351	198	153
Thornton 123	188	103	85
