Precinct	total_votes	votes|Ricky Gandhi	votes|André Thapedi
06004	156	51	105
06005	126	50	76
06006	270	80	190
06007	193	80	113
06009	186	66	120
06011	196	75	121
06012	153	64	89
06015	41	15	26
06018	159	62	97
06019	97	36	61
06021	106	45	61
06022	81	46	35
06023	91	37	54
06024	116	55	61
06026	91	32	59
06028	46	15	31
06030	172	77	95
06032	222	51	171
06033	219	63	156
06040	199	76	123
06047	167	63	104
06048	208	54	154
08026	0	0	0
15007	34	14	20
15022	113	46	67
16006	90	35	55
16016	134	36	98
16024	83	22	61
16029	110	31	79
16030	58	17	41
16033	54	18	36
17001	68	36	32
17003	189	53	136
17008	33	19	14
17011	25	9	16
17013	122	56	66
17017	152	56	96
17019	102	48	54
17030	96	44	52
17031	109	44	65
17032	15	4	11
17033	91	29	62
17034	22	7	15
17035	88	27	61
17036	179	40	139
17037	18	4	14
18001	204	54	150
18002	178	97	81
18003	164	71	93
18005	132	38	94
18006	33	9	24
18011	198	108	90
18012	58	19	39
18015	11	7	4
18017	234	78	156
18021	142	44	98
18023	209	66	143
18024	174	92	82
18025	188	80	108
18027	195	59	136
18028	199	93	106
18029	232	83	149
18030	230	108	122
18031	245	73	172
18033	80	34	46
18039	161	35	126
18040	223	97	126
18042	173	56	117
18043	11	3	8
18044	189	81	108
18045	182	74	108
18046	42	20	22
18047	157	46	111
18048	150	44	106
18049	127	33	94
18050	65	36	29
20008	42	14	28
20028	113	29	84
Lyons 13	121	59	62
Lyons 38	94	47	47
Lyons 70	157	77	80
Lyons 74	103	61	42
Lyons 77	123	66	57
Palos 6	87	57	30
Palos 17	238	124	114
Palos 18	218	149	69
Palos 20	215	114	101
Palos 25	265	105	160
Palos 27	212	127	85
Stickney 5	316	205	111
Stickney 9	118	82	36
Stickney 11	257	147	110
Stickney 12	130	62	68
Stickney 14	264	166	98
Stickney 15	277	196	81
Worth 1	0	0	0
Worth 74	108	73	35
Worth 86	208	122	86
