Precinct	total_votes	votes|Frances Ann Hurley
19001	210	210
19002	367	367
19004	254	254
19006	228	228
19007	220	220
19008	228	228
19010	329	329
19011	241	241
19013	303	303
19015	246	246
19016	215	215
19017	207	207
19018	224	224
19019	358	358
19021	223	223
19022	302	302
19023	258	258
19024	7	7
19025	265	265
19026	272	272
19027	273	273
19028	283	283
19029	195	195
19030	200	200
19032	216	216
19033	162	162
19034	263	263
19035	268	268
19036	315	315
19037	298	298
19038	226	226
19039	86	86
19041	183	183
19044	254	254
19045	236	236
19046	266	266
19050	202	202
19051	277	277
19052	236	236
19053	222	222
19054	160	160
19056	88	88
19057	258	258
21001	231	231
21003	218	218
21008	194	194
21014	216	216
21016	158	158
21018	227	227
21022	40	40
21029	99	99
21032	161	161
21036	15	15
21042	71	71
21048	61	61
34049	23	23
Orland 1	244	244
Orland 2	213	213
Orland 3	93	93
Orland 4	134	134
Orland 7	98	98
Orland 8	138	138
Orland 9	193	193
Orland 10	162	162
Orland 12	88	88
Orland 16	164	164
Orland 18	236	236
Orland 20	85	85
Orland 22	208	208
Orland 25	265	265
Orland 26	140	140
Orland 28	98	98
Orland 29	247	247
Orland 31	114	114
Orland 32	112	112
Orland 33	141	141
Orland 36	243	243
Orland 37	175	175
Orland 38	85	85
Orland 40	181	181
Orland 46	95	95
Orland 48	149	149
Orland 53	174	174
Orland 54	253	253
Orland 55	141	141
Orland 56	123	123
Orland 64	213	213
Orland 69	106	106
Palos 1	25	25
Palos 8	71	71
Palos 11	0	0
Palos 13	65	65
Palos 16	226	226
Palos 24	99	99
Palos 29	185	185
Palos 30	197	197
Worth 9	225	225
Worth 15	295	295
Worth 16	140	140
Worth 22	150	150
Worth 51	124	124
Worth 67	96	96
Worth 73	157	157
Worth 81	119	119
Worth 87	149	149
Worth 98	58	58
