Precinct	total_votes	votes|Laura Murphy
41028	151	151
41029	104	104
41042	2	2
Elk Grove 2	130	130
Elk Grove 3	200	200
Elk Grove 4	168	168
Elk Grove 9	165	165
Elk Grove 12	116	116
Elk Grove 13	175	175
Elk Grove 15	121	121
Elk Grove 17	143	143
Elk Grove 18	269	269
Elk Grove 20	152	152
Elk Grove 24	130	130
Elk Grove 29	180	180
Elk Grove 31	81	81
Elk Grove 32	93	93
Elk Grove 33	122	122
Elk Grove 36	92	92
Elk Grove 37	103	103
Elk Grove 38	102	102
Elk Grove 40	149	149
Elk Grove 42	154	154
Elk Grove 43	172	172
Elk Grove 45	121	121
Elk Grove 47	241	241
Elk Grove 49	142	142
Elk Grove 51	227	227
Leyden 23	279	279
Maine 3	92	92
Maine 6	313	313
Maine 7	99	99
Maine 8	125	125
Maine 9	300	300
Maine 10	161	161
Maine 11	107	107
Maine 12	133	133
Maine 13	175	175
Maine 14	258	258
Maine 16	150	150
Maine 17	187	187
Maine 18	161	161
Maine 20	107	107
Maine 21	241	241
Maine 22	251	251
Maine 24	277	277
Maine 25	245	245
Maine 26	194	194
Maine 34	225	225
Maine 35	227	227
Maine 36	180	180
Maine 37	163	163
Maine 38	119	119
Maine 42	308	308
Maine 47	174	174
Maine 48	256	256
Maine 50	153	153
Maine 53	145	145
Maine 54	209	209
Maine 56	155	155
Maine 61	92	92
Maine 65	122	122
Maine 67	216	216
Maine 68	132	132
Maine 79	108	108
Maine 80	142	142
Maine 86	141	141
Maine 87	130	130
Norwood Park 3	202	202
Norwood Park 11	265	265
Norwood Park 14	168	168
Palatine 11	128	128
Palatine 62	149	149
Schaumburg 2	263	263
Schaumburg 3	170	170
Schaumburg 5	149	149
Schaumburg 6	173	173
Schaumburg 7	108	108
Schaumburg 8	153	153
Schaumburg 9	176	176
Schaumburg 11	122	122
Schaumburg 12	14	14
Schaumburg 13	141	141
Schaumburg 14	189	189
Schaumburg 16	163	163
Schaumburg 17	159	159
Schaumburg 21	202	202
Schaumburg 22	76	76
Schaumburg 23	204	204
Schaumburg 24	200	200
Schaumburg 25	145	145
Schaumburg 26	165	165
Schaumburg 29	201	201
Schaumburg 30	167	167
Schaumburg 32	226	226
Schaumburg 33	148	148
Schaumburg 37	140	140
Schaumburg 39	247	247
Schaumburg 40	135	135
Schaumburg 41	135	135
Schaumburg 46	145	145
Schaumburg 47	187	187
Schaumburg 48	132	132
Schaumburg 50	115	115
Schaumburg 52	232	232
Schaumburg 53	188	188
Schaumburg 54	175	175
Schaumburg 55	140	140
Schaumburg 56	171	171
Schaumburg 57	218	218
Schaumburg 59	206	206
Schaumburg 61	237	237
Schaumburg 62	203	203
Schaumburg 63	147	147
Schaumburg 64	154	154
Schaumburg 65	160	160
Schaumburg 66	139	139
Schaumburg 67	154	154
Schaumburg 68	144	144
Schaumburg 69	145	145
Schaumburg 70	99	99
Schaumburg 72	147	147
Schaumburg 73	178	178
Schaumburg 74	122	122
Schaumburg 75	135	135
Schaumburg 76	168	168
