Precinct	total_votes	votes|Kim Foxx	votes|Bill Conway	votes|Donna More	votes|Bob Fioretti
01001	345	202	75	54	14
01002	282	159	66	40	17
01003	345	167	101	54	23
01004	314	140	108	55	11
01005	309	169	69	54	17
01006	268	130	92	32	14
01007	233	118	63	40	12
01008	243	134	69	29	11
01009	222	120	57	26	19
01010	328	157	102	53	16
01011	344	171	95	65	13
01012	395	231	87	58	19
01013	148	76	47	21	4
01014	314	152	85	58	19
01015	234	142	46	35	11
01016	374	210	107	43	14
01017	306	192	62	36	16
01018	299	187	51	50	11
01019	328	189	66	54	19
01020	281	174	62	36	9
01021	385	208	100	53	24
01022	205	108	61	29	7
01023	478	290	101	72	15
01024	305	189	58	39	19
01025	289	164	68	41	16
01026	224	131	47	37	9
01027	325	163	76	76	10
01028	88	53	25	8	2
01029	390	209	99	68	14
01030	375	219	83	48	25
01031	214	110	57	44	3
01032	288	147	81	46	14
01033	347	157	121	56	13
01034	271	164	48	51	8
01035	339	154	113	53	19
01036	325	158	93	55	19
01037	262	112	76	57	17
01038	233	120	63	38	12
01039	226	110	63	42	11
01040	303	149	101	36	17
01041	203	126	35	35	7
01042	86	46	16	16	8
01043	188	88	49	39	12
01044	272	170	57	35	10
02001	300	148	85	49	18
02002	218	63	87	58	10
02003	333	170	80	71	12
02004	276	167	55	37	17
02005	338	175	86	59	18
02006	276	137	64	54	21
02007	236	130	59	32	15
02008	299	144	95	50	10
02009	206	78	81	37	10
02010	184	46	80	49	9
02011	290	75	130	69	16
02012	329	171	83	66	9
02013	294	80	105	80	29
02014	372	187	111	45	29
02015	275	126	74	57	18
02016	263	159	55	38	11
02017	378	195	88	68	27
02018	275	102	85	74	14
02019	140	46	55	30	9
02020	276	104	112	46	14
02021	328	188	69	51	20
02022	303	94	125	75	9
02023	219	64	96	47	12
02024	217	63	86	58	10
02025	320	154	93	62	11
02026	243	93	92	42	16
02027	244	81	97	51	15
02028	269	83	96	73	17
02029	291	98	110	60	23
02030	229	76	96	45	12
02031	355	91	151	97	16
02032	192	73	66	43	10
02033	466	132	193	110	31
02034	254	68	116	60	10
02035	293	114	118	50	11
02036	262	75	113	58	16
02037	288	87	104	68	29
02038	250	65	99	71	15
02039	149	55	49	33	12
02040	227	99	81	36	11
02041	229	85	76	57	11
02042	252	99	83	58	12
02043	305	102	113	72	18
02044	175	53	67	40	15
02045	300	135	88	60	17
02046	176	79	62	28	7
03001	383	328	27	17	11
03002	452	394	33	18	7
03003	205	161	21	12	11
03004	390	351	23	9	7
03005	187	153	18	10	6
03006	401	188	125	59	29
03007	243	210	20	8	5
03008	224	187	22	12	3
03009	381	331	27	15	8
03010	142	120	13	6	3
03011	312	266	21	14	11
03012	359	312	31	11	5
03013	393	171	117	67	38
03014	363	217	93	34	19
03015	259	222	22	11	4
03016	267	227	18	14	8
03017	429	275	71	56	27
03018	422	326	41	29	26
03019	341	139	111	54	37
03020	364	318	25	11	10
03021	366	205	88	40	33
03022	397	188	108	72	29
03023	241	187	32	13	9
03024	266	227	23	12	4
03025	515	209	190	83	33
03026	388	184	116	54	34
03027	392	170	120	63	39
03028	226	189	22	11	4
03029	303	229	38	25	11
03030	291	260	22	5	4
03031	381	323	30	18	10
03032	386	205	85	68	28
03033	387	191	119	56	21
03034	399	219	101	49	30
03035	151	123	16	6	6
03036	146	112	23	9	2
03037	288	262	15	5	6
03038	288	244	15	17	12
03039	393	176	123	73	21
03040	276	180	55	21	20
03041	292	206	51	26	9
04001	470	365	44	48	13
04002	401	174	115	94	18
04003	287	239	30	9	9
04004	442	393	29	10	10
04005	413	335	42	24	12
04006	447	371	41	19	16
04007	422	359	25	25	13
04008	402	363	22	11	6
04009	465	401	38	18	8
04010	455	373	46	24	12
04011	311	262	31	13	5
04012	409	338	32	26	13
04013	360	170	93	76	21
04014	323	249	39	14	21
04015	417	347	43	20	7
04016	494	258	120	84	32
04017	375	208	86	37	44
04018	357	302	32	15	8
04019	261	211	39	6	5
04020	310	162	76	49	23
04021	382	214	81	57	30
04022	350	272	44	27	7
04023	475	392	43	31	9
04024	342	258	48	26	10
04025	382	166	101	80	35
04026	318	288	17	7	6
04027	465	372	47	33	13
04028	310	256	23	26	5
04029	297	257	22	12	6
04030	420	367	29	12	12
04031	442	358	37	34	13
04032	369	320	26	17	6
04033	354	287	32	27	8
04034	303	245	30	12	16
04035	382	335	21	16	10
04036	410	337	43	16	14
04037	539	261	148	84	46
04038	373	314	29	14	16
05001	253	211	29	10	3
05002	216	183	20	11	2
05003	350	276	35	29	10
05004	428	353	24	44	7
05005	282	228	25	24	5
05006	249	217	19	7	6
05007	357	287	36	28	6
05008	366	267	40	43	16
05009	443	352	42	39	10
05010	236	211	14	6	5
05011	362	265	36	49	12
05012	203	165	21	12	5
05013	289	241	29	11	8
05014	291	262	10	15	4
05015	321	239	36	37	9
05016	285	238	25	12	10
05017	234	186	28	17	3
05018	323	253	35	24	11
05019	351	256	41	41	13
05020	415	318	49	36	12
05021	342	256	45	36	5
05022	420	302	63	45	10
05023	567	411	78	62	16
05024	378	311	26	30	11
05025	306	261	23	13	9
05026	301	246	36	15	4
05027	353	257	46	42	8
05028	347	301	25	14	7
05029	316	272	26	13	5
05030	214	179	16	15	4
05031	219	187	18	8	6
05032	351	301	27	14	9
05033	344	286	39	14	5
05034	400	280	59	49	12
05035	425	315	39	66	5
05036	121	94	21	4	2
05037	363	245	46	53	19
05038	261	209	30	12	10
05039	285	196	42	37	10
05040	235	208	12	11	4
05041	203	135	33	26	9
06001	307	271	14	15	7
06002	318	279	25	8	6
06003	304	264	19	16	5
06004	181	144	24	7	6
06005	151	129	15	5	2
06006	310	280	16	10	4
06007	243	215	18	8	2
06008	279	241	26	11	1
06009	213	176	18	12	7
06010	154	136	10	8	0
06011	224	184	25	7	8
06012	178	139	29	6	4
06013	209	187	7	12	3
06014	248	214	18	10	6
06015	222	188	20	9	5
06016	315	273	22	15	5
06017	155	133	12	5	5
06018	225	197	17	9	2
06019	213	187	12	8	6
06020	139	108	18	10	3
06021	116	96	12	5	3
06022	160	118	16	18	8
06023	111	90	15	6	0
06024	135	108	13	8	6
06025	114	95	11	6	2
06026	149	132	9	7	1
06027	122	101	15	6	0
06028	112	92	13	5	2
06029	284	248	23	9	4
06030	199	166	16	9	8
06031	294	260	15	10	9
06032	252	219	19	9	5
06033	254	218	19	13	4
06034	268	232	20	12	4
06035	269	226	20	16	7
06036	330	298	19	8	5
06037	321	278	17	18	8
06038	307	278	16	8	5
06039	195	167	16	9	3
06040	220	201	8	6	5
06041	276	240	20	9	7
06042	231	204	19	6	2
06043	236	206	19	8	3
06044	274	222	28	21	3
06045	300	269	16	10	5
06046	190	160	20	6	4
06047	192	158	18	8	8
06048	255	215	25	12	3
07001	232	190	18	17	7
07002	224	184	23	11	6
07003	279	242	21	13	3
07004	250	206	26	14	4
07005	216	173	21	15	7
07006	321	271	24	18	8
07007	206	162	26	13	5
07008	150	131	14	3	2
07009	421	355	35	18	13
07010	272	237	14	17	4
07011	233	185	24	18	6
07012	223	179	28	8	8
07013	170	140	20	8	2
07014	239	186	29	14	10
07015	236	205	21	6	4
07016	175	145	16	10	4
07017	208	178	22	7	1
07018	169	137	22	6	4
07019	193	166	13	10	4
07020	165	129	20	11	5
07021	154	119	17	11	7
07022	189	148	23	10	8
07023	254	226	13	12	3
07024	174	153	9	9	3
07025	181	138	30	10	3
07026	200	169	17	7	7
07027	185	158	12	11	4
07028	152	127	10	12	3
07029	186	165	13	7	1
07030	152	119	20	9	4
07031	144	112	16	10	6
07032	363	323	22	13	5
07033	347	287	31	19	10
07034	307	269	17	14	7
07035	256	220	22	10	4
07036	298	252	26	17	3
07037	248	205	26	7	10
07038	199	167	21	8	3
07039	223	196	14	11	2
07040	227	187	21	13	6
07041	232	208	15	7	2
07042	210	174	18	12	6
07043	229	199	21	9	0
07044	202	173	16	11	2
07045	213	159	36	12	6
07046	113	84	19	10	0
08001	187	152	23	9	3
08002	189	156	16	13	4
08003	336	305	19	10	2
08004	310	280	14	10	6
08005	311	284	16	8	3
08006	276	240	16	11	9
08007	312	267	31	11	3
08008	289	254	18	10	7
08009	189	156	18	9	6
08010	367	328	27	7	5
08011	166	150	10	3	3
08012	232	207	11	11	3
08013	261	226	20	9	6
08014	185	153	19	8	5
08015	244	206	17	17	4
08016	80	68	9	2	1
08017	233	201	23	8	1
08018	178	150	19	8	1
08019	314	277	20	12	5
08020	304	262	26	11	5
08021	323	261	34	19	9
08022	243	210	10	16	7
08023	192	159	20	9	4
08024	171	136	17	10	8
08025	239	189	30	16	4
08026	186	161	16	5	4
08027	305	268	16	14	7
08028	256	228	18	6	4
08029	282	240	24	9	9
08030	277	234	26	11	6
08031	199	167	12	10	10
08032	223	198	11	12	2
08033	194	167	12	12	3
08034	269	234	22	9	4
08035	313	260	24	17	12
08036	267	218	28	13	8
08037	229	191	21	9	8
08038	181	153	15	9	4
08039	272	242	19	9	2
08040	225	198	13	7	7
08041	268	231	25	6	6
08042	303	273	15	10	5
08043	145	116	18	6	5
08044	182	155	19	7	1
08045	195	160	19	9	7
08046	190	162	13	9	6
08047	220	194	19	5	2
08048	230	200	19	7	4
08049	274	249	13	9	3
08050	269	235	18	12	4
08051	289	253	17	11	8
08052	377	336	18	15	8
08053	122	106	11	4	1
08054	180	154	16	8	2
08055	264	228	21	11	4
08056	291	252	23	8	8
09001	230	202	14	9	5
09002	224	184	25	14	1
09003	146	117	21	4	4
09004	195	180	3	10	2
09005	225	195	16	8	6
09006	242	211	19	7	5
09007	151	126	10	7	8
09008	210	180	20	6	4
09009	267	240	13	9	5
09010	209	182	16	10	1
09011	164	141	16	2	5
09012	265	232	11	15	7
09013	308	276	19	11	2
09014	306	252	28	15	11
09015	202	159	20	17	6
09016	252	220	20	10	2
09017	167	145	13	4	5
09018	167	148	12	4	3
09019	211	184	18	7	2
09020	219	189	20	6	4
09021	220	181	25	10	4
09022	274	258	11	3	2
09023	298	260	17	12	9
09024	278	234	28	9	7
09025	261	239	14	8	0
09026	200	161	23	11	5
09027	202	178	11	7	6
09028	100	73	13	10	4
09029	134	121	7	4	2
09030	173	144	21	5	3
09031	176	143	18	9	6
09032	243	218	14	8	3
09033	170	138	20	11	1
09034	169	145	13	8	3
09035	247	222	13	11	1
09036	193	172	11	3	7
09037	325	195	72	27	31
09038	226	195	15	12	4
09039	259	232	18	7	2
09040	303	269	14	13	7
09041	198	166	19	8	5
09042	276	234	19	17	6
09043	176	147	16	9	4
09044	219	199	11	7	2
09045	178	151	18	9	0
09046	249	187	24	25	13
09047	298	264	14	12	8
09048	278	244	17	15	2
09049	295	260	17	14	4
09050	382	342	20	11	9
09051	268	231	20	12	5
10001	196	130	43	17	6
10002	176	36	110	14	16
10003	178	55	93	12	18
10004	145	80	48	11	6
10005	147	34	78	20	15
10006	156	41	78	24	13
10007	124	34	50	28	12
10008	103	69	21	11	2
10009	173	41	97	16	19
10010	196	47	99	24	26
10011	238	73	106	36	23
10012	120	25	64	20	11
10013	190	66	90	22	12
10014	251	45	140	33	33
10015	453	389	44	14	6
10016	119	23	68	20	8
10017	287	63	168	40	16
10018	112	55	38	15	4
10019	216	59	106	30	21
10020	220	54	130	26	10
10021	215	50	120	25	20
10022	118	32	54	16	16
