Precinct	total_votes	votes|Edward M. Burke	votes|Alicia Elena Martinez	votes|Aaron M. Ortiz
14001	267	143	81	43
14002	293	98	59	136
14003	185	56	62	67
14004	217	119	43	55
14005	296	104	56	136
14006	121	51	25	45
14007	262	55	78	129
14008	228	37	103	88
14009	290	132	91	67
14010	148	40	34	74
14011	150	74	43	33
14012	202	41	74	87
14013	203	82	54	67
14014	226	69	43	114
14015	208	63	83	62
14016	170	61	40	69
14017	197	60	48	89
14018	99	34	40	25
14019	169	42	44	83
14020	154	51	43	60
14021	159	28	30	101
14022	280	104	97	79
14023	180	83	59	38
14024	292	175	54	63
14025	116	37	30	49
14026	167	59	34	74
14027	238	91	42	105
14028	159	53	36	70
14029	192	56	19	117
14030	126	21	28	77
14031	128	31	33	64
