Precinct	total_votes	votes|Jason C. Ervin
28001	100	100
28002	137	137
28003	127	127
28004	112	112
28005	124	124
28006	66	66
28007	147	147
28008	129	129
28009	142	142
28010	183	183
28011	318	318
28012	137	137
28013	179	179
28014	147	147
28015	39	39
28016	80	80
28017	133	133
28018	131	131
28019	127	127
28020	137	137
28021	142	142
28022	154	154
28023	194	194
28024	128	128
28025	246	246
28026	142	142
28027	141	141
28028	203	203
28029	72	72
28030	31	31
28031	223	223
28032	156	156
28033	168	168
28034	243	243
28035	140	140
28036	87	87
28037	189	189
28038	50	50
28039	107	107
28040	227	227
28041	116	116
28042	145	145
28043	174	174
28044	119	119
28045	154	154
28046	267	267
