Precinct	total_votes	votes|Chris Taliaferro
29001	277	277
29002	247	247
29003	214	214
29004	247	247
29005	130	130
29006	125	125
29007	223	223
29008	168	168
29009	221	221
29010	276	276
29011	100	100
29012	275	275
29013	203	203
29014	192	192
29015	258	258
29016	159	159
29017	226	226
29018	179	179
29019	211	211
29020	202	202
29021	209	209
29022	146	146
29023	213	213
29024	172	172
29025	246	246
29026	191	191
29027	181	181
29028	261	261
29029	184	184
29030	226	226
29031	137	137
29032	152	152
29033	128	128
29034	149	149
29035	136	136
29036	216	216
29037	196	196
29038	178	178
29039	146	146
29040	238	238
29041	168	168
29042	227	227
29043	281	281
29044	232	232
