Precinct	total_votes	votes|Scott Waguespack
32001	266	266
32002	254	254
32003	299	299
32004	230	230
32005	258	258
32006	275	275
32007	263	263
32008	272	272
32009	243	243
32010	245	245
32011	242	242
32012	194	194
32013	234	234
32014	273	273
32015	247	247
32016	255	255
32017	307	307
32018	215	215
32019	214	214
32020	275	275
32021	296	296
32022	302	302
32023	266	266
32024	153	153
32025	225	225
32026	308	308
32027	206	206
32028	299	299
32029	264	264
32030	199	199
32031	225	225
32032	306	306
32033	218	218
32034	230	230
32035	190	190
32036	220	220
32037	243	243
32038	215	215
32039	240	240
32040	270	270
32041	258	258
32042	213	213
32043	271	271
