Precinct	total_votes	votes|Emma M. Mitts
37001	146	146
37002	118	118
37003	103	103
37004	120	120
37005	188	188
37006	174	174
37007	108	108
37008	96	96
37009	156	156
37010	196	196
37011	87	87
37012	124	124
37013	128	128
37014	180	180
37015	201	201
37016	177	177
37017	127	127
37018	159	159
37019	132	132
37020	123	123
37021	130	130
37022	152	152
37023	171	171
37024	164	164
37025	173	173
37026	208	208
37027	173	173
37028	167	167
37029	139	139
37030	169	169
37031	179	179
37032	144	144
37033	210	210
37034	181	181
37035	210	210
37036	146	146
37037	189	189
37038	185	185
37039	147	147
37040	187	187
37041	150	150
