Precinct	total_votes	votes|Brendan Reilly
42001	206	206
42002	207	207
42003	217	217
42004	428	428
42005	191	191
42006	258	258
42007	249	249
42008	233	233
42009	269	269
42010	319	319
42011	96	96
42012	229	229
42013	276	276
42014	238	238
42015	242	242
42016	214	214
42017	212	212
42018	178	178
42019	270	270
42020	186	186
42021	184	184
42022	78	78
42023	224	224
42024	150	150
42025	223	223
42026	256	256
42027	195	195
42028	219	219
42029	193	193
42030	192	192
42031	245	245
42032	183	183
42033	259	259
42034	192	192
42035	263	263
42036	249	249
42037	155	155
42038	207	207
42039	258	258
42040	243	243
42041	221	221
42042	403	403
