Precinct	total_votes	votes|Toni Preckwinkle
04001	393	393
04002	295	295
04003	236	236
04004	341	341
04005	312	312
04006	353	353
04007	344	344
04008	332	332
04009	388	388
04010	355	355
04011	247	247
04012	338	338
04013	288	288
04014	268	268
04015	345	345
04016	389	389
04017	302	302
04018	308	308
04019	188	188
04020	239	239
04021	312	312
04022	313	313
04023	395	395
04024	276	276
04025	288	288
04026	252	252
04027	395	395
04028	261	261
04029	262	262
04030	346	346
04031	364	364
04032	322	322
04033	309	309
04034	241	241
04035	324	324
04036	362	362
04037	423	423
04038	320	320
