Precinct	total_votes	votes|Gregory I. Mitchell
07001	192	192
07002	169	169
07003	231	231
07004	203	203
07005	179	179
07006	260	260
07007	173	173
07008	118	118
07009	335	335
07010	228	228
07011	183	183
07012	164	164
07013	146	146
07014	184	184
07015	198	198
07016	146	146
07017	169	169
07018	144	144
07019	173	173
07020	137	137
07021	114	114
07022	155	155
07023	219	219
07024	148	148
07025	157	157
07026	171	171
07027	165	165
07028	125	125
07029	159	159
07030	124	124
07031	123	123
07032	317	317
07033	317	317
07034	273	273
07035	219	219
07036	262	262
07037	210	210
07038	166	166
07039	190	190
07040	193	193
07041	189	189
07042	178	178
07043	194	194
07044	162	162
07045	164	164
07046	86	86
