Precinct	total_votes	votes|Michelle A. Harris
08001	155	155
08002	159	159
08003	282	282
08004	272	272
08005	262	262
08006	241	241
08007	259	259
08008	252	252
08009	153	153
08010	324	324
08011	149	149
08012	189	189
08013	220	220
08014	146	146
08015	195	195
08016	69	69
08017	208	208
08018	153	153
08019	268	268
08020	263	263
08021	262	262
08022	210	210
08023	173	173
08024	141	141
08025	204	204
08026	158	158
08027	250	250
08028	216	216
08029	248	248
08030	246	246
08031	161	161
08032	204	204
08033	166	166
08034	232	232
08035	251	251
08036	229	229
08037	179	179
08038	154	154
08039	235	235
08040	189	189
08041	221	221
08042	258	258
08043	121	121
08044	145	145
08045	160	160
08046	159	159
08047	184	184
08048	184	184
08049	229	229
08050	232	232
08051	239	239
08052	330	330
08053	108	108
08054	154	154
08055	241	241
08056	247	247
