Precinct	total_votes	votes|Anthony A. Beale
09001	169	169
09002	174	174
09003	90	90
09004	153	153
09005	158	158
09006	174	174
09007	111	111
09008	151	151
09009	208	208
09010	145	145
09011	118	118
09012	211	211
09013	249	249
09014	239	239
09015	141	141
09016	207	207
09017	126	126
09018	136	136
09019	176	176
09020	170	170
09021	186	186
09022	201	201
09023	198	198
09024	222	222
09025	180	180
09026	156	156
09027	154	154
09028	83	83
09029	90	90
09030	135	135
09031	124	124
09032	188	188
09033	108	108
09034	124	124
09035	188	188
09036	134	134
09037	249	249
09038	181	181
09039	200	200
09040	215	215
09041	160	160
09042	206	206
09043	131	131
09044	166	166
09045	129	129
09046	174	174
09047	213	213
09048	211	211
09049	233	233
09050	298	298
09051	217	217
