Precinct	total_votes	votes|Will Guzzardi
01002	162	162
01007	356	356
01009	395	395
01013	229	229
01016	485	485
01017	123	123
01019	647	647
01023	693	693
01034	467	467
01041	261	261
01042	82	82
01043	329	329
26007	361	361
26034	372	372
26037	35	35
30001	450	450
30004	362	362
30007	427	427
30009	220	220
30017	391	391
30018	194	194
30019	100	100
30020	415	415
30023	422	422
30024	82	82
30025	279	279
30026	248	248
30027	274	274
30031	253	253
31001	271	271
31002	219	219
31005	288	288
31006	224	224
31007	449	449
31008	218	218
31009	301	301
31010	282	282
31011	242	242
31012	256	256
31013	295	295
31014	213	213
31017	261	261
31018	254	254
31020	265	265
31021	182	182
31023	270	270
31024	282	282
31026	297	297
31027	267	267
31028	261	261
31029	241	241
31030	230	230
31032	248	248
31033	256	256
31034	277	277
31035	294	294
31036	273	273
31037	250	250
31038	293	293
31040	308	308
31041	258	258
32003	252	252
32011	505	505
32012	390	390
32014	568	568
32020	528	528
32022	685	685
32026	306	306
32028	298	298
32043	24	24
35002	55	55
35010	629	629
35011	474	474
35015	542	542
35017	529	529
35025	570	570
35028	437	437
36009	23	23
36014	390	390
36016	381	381
36017	387	387
36018	281	281
36020	368	368
38023	407	407
38034	373	373
38035	363	363
38039	141	141
45008	411	411
45009	431	431
45010	449	449
45011	334	334
