Precinct	total_votes	votes|Patricia Van Pelt
01008	411	411
01011	121	121
01012	562	562
01021	58	58
01032	83	83
01033	24	24
01037	135	135
02001	381	381
02006	534	534
02007	494	494
02008	602	602
02009	411	411
02012	450	450
02015	424	424
02017	518	518
02020	516	516
02025	594	594
02041	111	111
02046	287	287
11002	67	67
11006	625	625
11007	796	796
11033	513	513
12010	80	80
22019	219	219
22021	449	449
24001	336	336
24002	373	373
24003	406	406
24004	304	304
24005	244	244
24006	376	376
24007	234	234
24008	179	179
24009	400	400
24010	176	176
24011	431	431
24012	239	239
24013	241	241
24014	366	366
24015	225	225
24016	20	20
24017	302	302
24018	373	373
24019	439	439
24020	328	328
24021	212	212
24022	519	519
24023	358	358
24024	492	492
24025	286	286
24026	501	501
24027	394	394
24028	277	277
24029	264	264
24030	208	208
24031	408	408
24032	229	229
24033	229	229
24034	348	348
24035	360	360
24036	424	424
24037	251	251
24038	289	289
24039	422	422
24040	395	395
24041	285	285
25003	590	590
25004	465	465
25010	678	678
25016	613	613
25020	352	352
25025	450	450
25027	335	335
25029	425	425
25031	788	788
26004	84	84
26017	271	271
26019	94	94
26028	362	362
26046	242	242
27001	580	580
27002	441	441
27003	278	278
27004	260	260
27005	320	320
27006	412	412
27008	375	375
27009	213	213
27010	456	456
27011	466	466
27013	392	392
27014	270	270
27015	317	317
27016	493	493
27017	473	473
27018	343	343
27019	282	282
27020	393	393
27021	419	419
27022	251	251
27023	338	338
27024	311	311
27025	381	381
27026	342	342
27027	537	537
27028	219	219
27029	336	336
27030	233	233
27031	352	352
27032	375	375
27033	428	428
27034	392	392
27035	449	449
27036	329	329
27037	451	451
27038	470	470
27039	300	300
27040	483	483
27041	383	383
27042	288	288
27043	353	353
27044	335	335
27045	802	802
27047	312	312
27048	721	721
27049	342	342
27050	431	431
28001	24	24
28002	376	376
28003	351	351
28004	322	322
28005	191	191
28006	175	175
28007	447	447
28008	393	393
28009	398	398
28010	473	473
28011	729	729
28013	365	365
28015	132	132
28016	282	282
28017	374	374
28018	292	292
28019	327	327
28020	387	387
28021	349	349
28022	358	358
28023	515	515
28024	353	353
28025	485	485
28026	479	479
28027	369	369
28028	423	423
28029	220	220
28030	60	60
28032	416	416
28033	490	490
28034	767	767
28035	462	462
28036	233	233
28037	541	541
28038	187	187
28040	515	515
28042	174	174
28044	301	301
28045	394	394
28046	634	634
29006	10	10
32002	554	554
32004	490	490
32005	516	516
32006	586	586
32029	429	429
32031	496	496
32032	514	514
32033	272	272
32034	483	483
32035	497	497
32036	512	512
32037	235	235
37002	339	339
37003	353	353
37004	366	366
37007	299	299
37008	340	340
37012	112	112
37013	351	351
37014	20	20
37019	375	375
37020	3	3
37021	366	366
37022	13	13
37027	6	6
37028	384	384
37030	177	177
42003	582	582
42009	5	5
42012	230	230
42016	563	563
42018	5	5
42021	166	166
42036	346	346
42041	191	191
43001	283	283
43003	481	481
43005	453	453
43007	325	325
43010	547	547
43011	474	474
43023	385	385
43045	319	319
