Precinct	total_votes	votes|Daniel J. Burke
12020	13	13
14001	246	246
14002	391	391
14004	208	208
14005	433	433
14006	127	127
14007	294	294
14008	280	280
14009	289	289
14010	205	205
14012	252	252
14013	248	248
14014	309	309
14016	219	219
14017	245	245
14018	20	20
14019	322	322
14020	196	196
14021	253	253
14022	79	79
14023	141	141
14024	270	270
14025	184	184
14026	212	212
14027	274	274
14028	191	191
14029	249	249
14030	169	169
14031	177	177
15003	27	27
15004	247	247
15008	237	237
15009	41	41
15010	210	210
15011	180	180
15012	280	280
15015	30	30
15016	238	238
15019	205	205
16001	275	275
16002	50	50
16007	211	211
16011	235	235
16013	231	231
16017	139	139
16023	224	224
16032	252	252
16035	247	247
17001	221	221
17007	277	277
17012	332	332
17014	262	262
17016	175	175
17030	81	81
22001	160	160
22002	270	270
22008	293	293
22012	221	221
22023	286	286
23003	183	183
23006	73	73
23012	7	7
23014	181	181
23017	120	120
23019	228	228
23020	3	3
23022	69	69
23024	140	140
23025	186	186
23026	57	57
23031	157	157
23037	56	56
