Precinct	total_votes	votes|Mary E. Flowers
06010	228	228
06017	238	238
06019	70	70
06020	196	196
06022	208	208
06025	200	200
06026	65	65
06027	196	196
17002	248	248
17004	388	388
17005	242	242
17009	272	272
17010	314	314
17011	179	179
17015	307	307
17018	320	320
17020	377	377
17021	62	62
17022	254	254
17023	186	186
17024	320	320
17026	328	328
17027	314	314
17028	233	233
17029	268	268
17032	179	179
17034	172	172
17037	233	233
17038	293	293
17039	275	275
17040	323	323
17041	361	361
18004	335	335
18006	111	111
18007	288	288
18008	308	308
18009	105	105
18010	414	414
18012	189	189
18013	321	321
18014	327	327
18016	303	303
18018	259	259
18019	269	269
18020	250	250
18021	260	260
18022	363	363
18026	287	287
18029	9	9
18032	14	14
18033	26	26
18035	343	343
18036	301	301
18037	346	346
18038	292	292
18041	361	361
21002	82	82
21004	318	318
21013	33	33
21015	218	218
21017	35	35
21020	186	186
21026	284	284
21028	360	360
21030	250	250
21034	156	156
21043	341	341
21044	92	92
21047	276	276
21051	295	295
21052	276	276
21053	122	122
21054	278	278
