Precinct	total_votes	votes|Marcus C. Evans, Jr.
07026	273	273
07027	230	230
07028	139	139
07029	237	237
07030	133	133
07032	184	184
07036	371	371
07037	38	38
07038	250	250
07039	267	267
07040	257	257
07041	280	280
07042	280	280
07043	257	257
07044	255	255
07045	284	284
08003	360	360
08004	342	342
08005	347	347
08006	334	334
08007	366	366
08008	317	317
08010	391	391
08011	286	286
08012	273	273
08014	252	252
08015	244	244
08017	279	279
08018	294	294
08019	359	359
08023	254	254
08024	194	194
08025	304	304
08027	343	343
08029	379	379
08030	347	347
08033	303	303
08035	332	332
08036	324	324
08037	278	278
08038	201	201
08040	248	248
08041	300	300
08044	218	218
08045	201	201
08046	245	245
08048	299	299
08049	300	300
08050	324	324
08051	342	342
08052	407	407
08053	175	175
08054	117	117
08056	312	312
10002	173	173
10003	174	174
10005	152	152
10009	177	177
10013	260	260
10014	4	4
10015	542	542
10016	185	185
10017	243	243
10021	3	3
10023	5	5
10024	187	187
10027	5	5
10033	2	2
