Precinct	total_votes	votes|Mike Quigley
01003	327	327
01004	258	258
01005	282	282
01006	279	279
01008	224	224
01010	290	290
01011	280	280
01014	210	210
01021	285	285
01028	81	81
01032	162	162
01033	303	303
01035	313	313
01036	262	262
01037	276	276
01038	64	64
01039	248	248
01040	254	254
02001	277	277
02003	285	285
02004	245	245
02005	305	305
02006	303	303
02007	230	230
02008	293	293
02012	93	93
02014	52	52
02015	261	261
02016	242	242
02017	37	37
02020	143	143
02021	288	288
02022	240	240
02024	221	221
02025	273	273
02026	211	211
02028	221	221
02030	205	205
02031	292	292
02033	341	341
02037	232	232
02038	38	38
02044	140	140
25032	0	0
26028	139	139
26032	235	235
27007	325	325
27012	149	149
27013	136	136
27027	26	26
27035	21	21
27037	35	35
27040	108	108
27042	51	51
27043	16	16
27046	126	126
29023	57	57
29029	212	212
29031	177	177
29032	201	201
29038	15	15
29039	93	93
30015	190	190
30017	129	129
30021	177	177
32001	309	309
32002	247	247
32004	261	261
32005	248	248
32006	274	274
32007	250	250
32008	275	275
32009	298	298
32010	218	218
32013	252	252
32015	262	262
32016	246	246
32018	212	212
32019	271	271
32021	309	309
32023	244	244
32024	160	160
32025	254	254
32027	213	213
32029	332	332
32030	189	189
32031	268	268
32032	260	260
32033	237	237
32034	271	271
32035	237	237
32036	277	277
32037	236	236
32038	232	232
32039	210	210
32040	312	312
32041	266	266
32042	256	256
33002	413	413
33003	31	31
33005	261	261
33007	209	209
33008	275	275
33010	39	39
33018	401	401
33019	176	176
33023	4	4
33024	465	465
33027	8	8
36007	250	250
36014	232	232
36015	260	260
36016	179	179
36017	274	274
36018	213	213
36020	105	105
36024	185	185
36026	176	176
36028	200	200
36029	20	20
36030	231	231
38002	191	191
38003	224	224
38004	225	225
38005	201	201
38006	207	207
38007	211	211
38008	209	209
38009	230	230
38010	205	205
38011	218	218
38012	185	185
38013	225	225
38014	254	254
38015	232	232
38016	206	206
38017	239	239
38018	219	219
38019	218	218
38020	208	208
38021	201	201
38022	219	219
38023	260	260
38024	217	217
38025	182	182
38026	224	224
38027	213	213
38028	239	239
38029	230	230
38030	194	194
38031	245	245
38032	213	213
38033	216	216
38034	216	216
38035	113	113
38036	228	228
38037	239	239
38038	196	196
38039	274	274
38040	237	237
39001	244	244
39002	180	180
39003	294	294
39004	216	216
39005	270	270
39006	261	261
39007	236	236
39008	305	305
39009	260	260
39010	154	154
39011	264	264
39012	243	243
39013	206	206
39014	218	218
39015	271	271
39016	199	199
39017	295	295
39018	270	270
39019	247	247
39020	274	274
39021	212	212
39022	203	203
39023	257	257
39024	293	293
39025	224	224
39026	224	224
39027	55	55
39028	166	166
39029	148	148
39030	328	328
39032	194	194
39033	271	271
39034	288	288
39035	258	258
39036	80	80
39037	258	258
39038	166	166
39039	155	155
39040	192	192
39041	253	253
39042	265	265
39043	243	243
39044	200	200
39045	241	241
40001	226	226
40002	243	243
40003	371	371
40005	313	313
40006	368	368
40007	333	333
40008	423	423
40010	83	83
40011	293	293
40012	232	232
40013	490	490
40014	245	245
40015	246	246
40016	404	404
40017	261	261
40019	353	353
40020	262	262
40021	371	371
40023	390	390
40024	209	209
40025	392	392
40029	268	268
40030	261	261
40031	123	123
40032	341	341
40034	229	229
40038	408	408
41003	220	220
41006	317	317
41009	240	240
41011	74	74
41012	217	217
41014	309	309
41016	202	202
41017	190	190
41019	270	270
41021	222	222
41022	241	241
41023	97	97
41024	199	199
41026	240	240
41027	158	158
41030	243	243
41032	206	206
41033	181	181
41035	263	263
41038	206	206
41039	260	260
41045	85	85
41046	262	262
41047	261	261
43002	228	228
43003	234	234
43004	235	235
43005	165	165
43006	153	153
43007	189	189
43008	198	198
43009	246	246
43010	262	262
43011	169	169
43012	149	149
43013	266	266
43014	230	230
43015	238	238
43016	246	246
43017	165	165
43018	255	255
43019	276	276
43020	295	295
43021	263	263
43022	152	152
43023	167	167
43024	168	168
43025	228	228
43026	177	177
43027	229	229
43028	298	298
43029	207	207
43030	325	325
43031	265	265
43032	280	280
43034	207	207
43036	137	137
43037	318	318
43038	159	159
43039	307	307
43040	188	188
43041	353	353
43042	202	202
43043	227	227
43044	234	234
43046	122	122
44001	503	503
44002	280	280
44005	335	335
44006	384	384
44008	356	356
44009	215	215
44010	269	269
44011	285	285
44012	317	317
44013	199	199
44014	233	233
44015	312	312
44016	315	315
44017	413	413
44018	267	267
44019	396	396
44020	294	294
44021	357	357
44022	366	366
44023	267	267
44025	277	277
44026	365	365
44027	310	310
44028	366	366
44029	293	293
44030	328	328
44031	288	288
44032	320	320
44033	369	369
44034	321	321
44036	313	313
44037	350	350
44038	257	257
44039	258	258
44040	271	271
44041	369	369
45003	281	281
45004	335	335
45005	272	272
45006	336	336
45007	370	370
45008	14	14
45011	231	231
45012	235	235
45013	263	263
45014	362	362
45015	377	377
45016	226	226
45017	264	264
45018	253	253
45019	134	134
45020	158	158
45021	217	217
45022	223	223
45023	223	223
45024	195	195
45025	149	149
45026	133	133
45027	217	217
45028	173	173
45029	128	128
45030	228	228
45031	191	191
45032	191	191
45033	178	178
45034	274	274
45035	260	260
45036	264	264
45037	223	223
45038	218	218
45039	230	230
45040	247	247
45041	207	207
45042	243	243
45043	215	215
45044	205	205
45045	142	142
45046	155	155
45047	159	159
45048	130	130
46003	388	388
46005	330	330
46010	437	437
46012	49	49
46016	184	184
46019	218	218
46024	80	80
46028	341	341
46030	332	332
46031	325	325
46033	378	378
46036	277	277
46038	266	266
46039	327	327
47001	193	193
47002	330	330
47003	334	334
47004	314	314
47005	365	365
47006	339	339
47007	311	311
47008	309	309
47009	255	255
47010	442	442
47011	282	282
47012	346	346
47013	359	359
47014	281	281
47016	325	325
47017	322	322
47018	314	314
47020	326	326
47021	297	297
47022	388	388
47024	303	303
47025	370	370
47026	445	445
47027	285	285
47028	344	344
47029	338	338
47030	286	286
47031	335	335
47032	427	427
47033	284	284
47034	396	396
47035	311	311
47036	412	412
47037	349	349
47038	344	344
47039	348	348
47040	323	323
47041	379	379
47042	341	341
47043	290	290
47044	275	275
47045	356	356
47046	297	297
47047	357	357
47048	32	32
50024	124	124
50025	9	9
