Precinct	total_votes	votes|Michael J. Madigan
13001	220	220
13002	239	239
13003	215	215
13004	245	245
13005	331	331
13006	253	253
13007	218	218
13008	190	190
13009	237	237
13010	183	183
13011	272	272
13012	254	254
13013	273	273
13014	245	245
13015	460	460
13016	216	216
13017	229	229
13018	172	172
13019	350	350
13020	146	146
13021	261	261
13022	264	264
13023	220	220
13024	253	253
13025	284	284
13026	308	308
13027	271	271
13028	236	236
13029	204	204
13030	224	224
13031	271	271
13032	199	199
13033	212	212
13034	343	343
13035	258	258
13036	171	171
13037	277	277
13038	194	194
13039	275	275
13040	229	229
13041	290	290
13042	197	197
13043	264	264
13044	358	358
13045	334	334
13046	323	323
13047	295	295
13048	216	216
