Precinct	total_votes	votes|Derrick G. Curtis
18001	268	268
18002	236	236
18003	208	208
18004	327	327
18005	185	185
18006	206	206
18007	287	287
18008	302	302
18009	277	277
18010	409	409
18011	250	250
18012	282	282
18013	314	314
18014	297	297
18015	320	320
18016	277	277
18017	296	296
18018	247	247
18019	276	276
18020	236	236
18021	371	371
18022	364	364
18023	274	274
18024	240	240
18025	240	240
18026	341	341
18027	219	219
18028	222	222
18029	300	300
18030	264	264
18031	322	322
18032	308	308
18033	250	250
18034	378	378
18035	328	328
18036	293	293
18037	332	332
18038	269	269
18039	206	206
18040	314	314
18041	332	332
18042	237	237
18043	206	206
18044	213	213
18045	245	245
18046	286	286
18047	217	217
18048	237	237
18049	189	189
18050	190	190
