Precinct	total_votes	votes|Tim Egan
02001	217	217
02002	115	115
02003	228	228
02004	198	198
02005	255	255
02006	252	252
02007	194	194
02008	218	218
02009	131	131
02010	147	147
02011	135	135
02012	215	215
02013	166	166
02014	245	245
02015	191	191
02016	189	189
02017	257	257
02018	176	176
02019	113	113
02020	181	181
02021	236	236
02022	177	177
02023	106	106
02024	161	161
02025	217	217
02026	164	164
02027	149	149
02028	180	180
02029	169	169
02030	152	152
02031	223	223
02032	145	145
02033	275	275
02034	148	148
02035	167	167
02036	133	133
02037	188	188
02038	151	151
02039	117	117
02040	151	151
02041	125	125
02042	175	175
02043	188	188
02044	104	104
02045	225	225
02046	95	95
