Precinct	total_votes	votes|Lucy Moog
43001	109	109
43002	162	162
43003	185	185
43004	172	172
43005	161	161
43006	120	120
43007	132	132
43008	152	152
43009	229	229
43010	195	195
43011	130	130
43012	114	114
43013	199	199
43014	185	185
43015	173	173
43016	184	184
43017	133	133
43018	194	194
43019	205	205
43020	236	236
43021	205	205
43022	115	115
43023	127	127
43024	116	116
43025	171	171
43026	139	139
43027	173	173
43028	208	208
43029	152	152
43030	264	264
43031	196	196
43032	216	216
43033	190	190
43034	137	137
43035	182	182
43036	103	103
43037	249	249
43038	119	119
43039	252	252
43040	152	152
43041	269	269
43042	147	147
43043	182	182
43044	176	176
43045	127	127
43046	81	81
