Precinct	total_votes	votes|Tom Tunney
44001	408	408
44002	220	220
44003	212	212
44004	224	224
44005	283	283
44006	313	313
44007	189	189
44008	306	306
44009	169	169
44010	231	231
44011	211	211
44012	282	282
44013	148	148
44014	193	193
44015	262	262
44016	231	231
44017	364	364
44018	234	234
44019	349	349
44020	232	232
44021	314	314
44022	313	313
44023	201	201
44024	176	176
44025	206	206
44026	294	294
44027	257	257
44028	307	307
44029	238	238
44030	257	257
44031	242	242
44032	269	269
44033	311	311
44034	260	260
44035	327	327
44036	267	267
44037	309	309
44038	202	202
44039	221	221
44040	216	216
44041	314	314
