Precinct	total_votes	votes|Yes	votes|No
28001	201	185	16
28002	268	225	43
28003	240	201	39
28004	305	231	74
28005	200	164	36
28006	178	142	36
28007	274	254	20
28008	406	336	70
28009	277	246	31
28010	416	354	62
28011	635	511	124
28012	278	248	30
28013	343	320	23
28014	224	195	29
28015	59	55	4
28016	173	162	11
28017	254	237	17
28018	261	232	29
28019	271	202	69
28020	264	230	34
28021	245	222	23
28022	256	204	52
28023	329	300	29
28024	247	217	30
28025	401	352	49
28026	274	233	41
28027	354	262	92
28028	410	321	89
28029	162	134	28
28030	47	42	5
28031	363	331	32
28032	270	246	24
28033	315	292	23
28034	503	450	53
28035	335	295	40
28036	141	126	15
28037	356	327	29
28038	125	115	10
28039	219	203	16
28040	396	368	28
28041	220	192	28
28042	275	263	12
28043	342	312	30
28044	192	174	18
28045	426	317	109
28046	634	490	144
