Precinct	total_votes	votes|Karen A. Yarbrough
01001	527	527
01002	423	423
01003	568	568
01004	548	548
01005	578	578
01006	471	471
01007	359	359
01008	419	419
01009	360	360
01010	627	627
01011	573	573
01012	565	565
01013	221	221
01014	452	452
01015	433	433
01016	584	584
01017	426	426
01018	467	467
01019	553	553
01020	399	399
01021	666	666
01022	316	316
01023	685	685
01024	420	420
01025	475	475
01026	307	307
01027	517	517
01028	112	112
01029	589	589
01030	520	520
01031	436	436
01032	465	465
01033	545	545
01034	386	386
01035	587	587
01036	492	492
01037	478	478
01038	442	442
01039	425	425
01040	464	464
01041	287	287
01042	161	161
01043	302	302
01044	446	446
02001	554	554
02002	350	350
02003	568	568
02004	435	435
02005	585	585
02006	486	486
02007	459	459
02008	565	565
02009	405	405
02010	343	343
02011	476	476
02012	455	455
02013	403	403
02014	511	511
02015	481	481
02016	443	443
02017	591	591
02018	451	451
02019	314	314
02020	519	519
02021	526	526
02022	480	480
02023	308	308
02024	430	430
02025	522	522
02026	406	406
02027	393	393
02028	513	513
02029	529	529
02030	398	398
02031	517	517
02032	351	351
02033	654	654
02034	347	347
02035	584	584
02036	501	501
02037	432	432
02038	399	399
02039	279	279
02040	653	653
02041	484	484
02042	530	530
02043	608	608
02044	286	286
02045	542	542
02046	240	240
03001	599	599
03002	564	564
03003	391	391
03004	522	522
03005	294	294
03006	596	596
03007	307	307
03008	380	380
03009	476	476
03010	210	210
03011	495	495
03012	476	476
03013	516	516
03014	532	532
03015	434	434
03016	409	409
03017	652	652
03018	676	676
03019	519	519
03020	489	489
03021	507	507
03022	626	626
03023	400	400
03024	390	390
03025	742	742
03026	509	509
03027	593	593
03028	312	312
03029	453	453
03030	407	407
03031	520	520
03032	551	551
03033	565	565
03034	597	597
03035	221	221
03036	254	254
03037	417	417
03038	385	385
03039	754	754
03040	494	494
03041	321	321
04001	726	726
04002	616	616
04003	392	392
04004	649	649
04005	480	480
04006	572	572
04007	584	584
04008	530	530
04009	562	562
04010	624	624
04011	499	499
04012	567	567
04013	591	591
04014	521	521
04015	608	608
04016	821	821
04017	621	621
04018	466	466
04019	366	366
04020	429	429
04021	688	688
04022	499	499
04023	669	669
04024	452	452
04025	537	537
04026	470	470
04027	642	642
04028	422	422
04029	415	415
04030	670	670
04031	521	521
04032	555	555
04033	506	506
04034	431	431
04035	584	584
04036	576	576
04037	886	886
04038	539	539
05001	384	384
05002	327	327
05003	523	523
05004	640	640
05005	408	408
05006	368	368
05007	510	510
05008	488	488
05009	573	573
05010	354	354
05011	490	490
05012	295	295
05013	392	392
05014	371	371
05015	428	428
05016	431	431
05017	391	391
05018	451	451
05019	445	445
05020	558	558
05021	516	516
05022	536	536
05023	797	797
05024	521	521
05025	429	429
05026	455	455
05027	534	534
05028	491	491
05029	472	472
05030	311	311
05031	352	352
05032	579	579
05033	506	506
05034	541	541
05035	562	562
05036	262	262
05037	521	521
05038	410	410
05039	368	368
05040	325	325
05041	270	270
06001	426	426
06002	398	398
06003	412	412
06004	297	297
06005	257	257
06006	403	403
06007	348	348
06008	376	376
06009	335	335
06010	226	226
06011	325	325
06012	269	269
06013	298	298
06014	349	349
06015	313	313
06016	395	395
06017	255	255
06018	279	279
06019	339	339
06020	210	210
06021	203	203
06022	221	221
06023	197	197
06024	193	193
06025	202	202
06026	279	279
06027	209	209
06028	180	180
06029	403	403
06030	296	296
06031	398	398
06032	341	341
06033	366	366
06034	386	386
06035	344	344
06036	448	448
06037	385	385
06038	392	392
06039	297	297
06040	340	340
06041	372	372
06042	383	383
06043	329	329
06044	358	358
06045	398	398
06046	255	255
06047	271	271
06048	391	391
07001	326	326
07002	344	344
07003	380	380
07004	368	368
07005	304	304
07006	461	461
07007	347	347
07008	299	299
07009	620	620
07010	401	401
07011	382	382
07012	323	323
07013	223	223
07014	384	384
07015	344	344
07016	271	271
07017	302	302
07018	311	311
07019	339	339
07020	268	268
07021	265	265
07022	303	303
07023	347	347
07024	294	294
07025	283	283
07026	297	297
07027	293	293
07028	259	259
07029	300	300
07030	252	252
07031	236	236
07032	472	472
07033	465	465
07034	426	426
07035	384	384
07036	429	429
07037	375	375
07038	299	299
07039	322	322
07040	303	303
07041	354	354
07042	309	309
07043	355	355
07044	301	301
07045	326	326
07046	148	148
08001	314	314
08002	340	340
08003	432	432
08004	432	432
08005	428	428
08006	389	389
08007	432	432
08008	368	368
08009	253	253
08010	477	477
08011	303	303
08012	324	324
08013	425	425
08014	267	267
08015	333	333
08016	115	115
08017	337	337
08018	345	345
08019	406	406
08020	427	427
08021	471	471
08022	355	355
08023	315	315
08024	231	231
08025	362	362
08026	344	344
08027	415	415
08028	380	380
08029	429	429
08030	393	393
08031	277	277
08032	304	304
08033	353	353
08034	350	350
08035	413	413
08036	402	402
08037	318	318
08038	256	256
08039	380	380
08040	285	285
08041	434	434
08042	455	455
08043	205	205
08044	251	251
08045	368	368
08046	302	302
08047	304	304
08048	344	344
08049	353	353
08050	388	388
08051	415	415
08052	467	467
08053	209	209
08054	305	305
08055	300	300
08056	378	378
09001	353	353
09002	326	326
09003	258	258
09004	271	271
09005	341	341
09006	325	325
09007	289	289
09008	347	347
09009	375	375
09010	282	282
09011	233	233
09012	402	402
09013	405	405
09014	422	422
09015	378	378
09016	318	318
09017	236	236
09018	255	255
09019	337	337
09020	348	348
09021	298	298
09022	350	350
09023	413	413
09024	361	361
09025	356	356
09026	386	386
09027	304	304
09028	213	213
09029	301	301
09030	277	277
09031	271	271
09032	353	353
09033	270	270
09034	254	254
09035	356	356
09036	291	291
09037	464	464
09038	373	373
09039	384	384
09040	388	388
09041	284	284
09042	355	355
09043	294	294
09044	307	307
09045	273	273
09046	345	345
09047	363	363
09048	401	401
09049	382	382
09050	462	462
09051	351	351
10001	316	316
10002	281	281
10003	297	297
10004	250	250
10005	232	232
10006	248	248
10007	232	232
10008	214	214
10009	236	236
10010	307	307
10011	356	356
10012	204	204
10013	299	299
10014	387	387
10015	652	652
10016	228	228
10017	378	378
10018	211	211
10019	302	302
10020	323	323
10021	311	311
10022	187	187
10023	284	284
10024	272	272
10025	102	102
