Precinct	total_votes	votes|Brandon Johnson
01012	151	151
01032	467	467
26028	457	457
26032	373	373
27003	218	218
27004	202	202
27005	283	283
27008	274	274
27015	177	177
27019	172	172
27022	161	161
27023	273	273
27024	257	257
27026	273	273
27029	228	228
27031	282	282
27034	252	252
27036	302	302
27043	37	37
27044	240	240
28001	198	198
28002	269	269
28003	231	231
28007	283	283
28009	156	156
28012	297	297
28013	319	319
28014	221	221
28015	58	58
28017	186	186
28020	275	275
28021	248	248
28022	262	262
28023	333	333
28024	235	235
28025	396	396
28026	276	276
28031	387	387
28033	309	309
28036	4	4
28037	363	363
28038	139	139
28039	216	216
28040	292	292
28041	223	223
28042	295	295
28043	368	368
28044	206	206
29001	471	471
29002	303	303
29003	392	392
29004	387	387
29005	306	306
29006	47	47
29007	371	371
29008	321	321
29009	392	392
29010	473	473
29011	213	213
29012	454	454
29013	394	394
29014	344	344
29015	417	417
29016	355	355
29017	330	330
29018	350	350
29019	376	376
29020	434	434
29021	463	463
29022	250	250
29023	374	374
29024	326	326
29025	440	440
29026	358	358
29027	337	337
29028	434	434
29029	288	288
29030	474	474
29031	305	305
29032	289	289
29033	262	262
29034	263	263
29035	283	283
29036	327	327
29037	348	348
29038	353	353
29039	304	304
29040	411	411
29041	285	285
29042	408	408
29043	457	457
29044	462	462
36001	301	301
36003	285	285
36004	201	201
36007	336	336
36010	370	370
36019	359	359
36024	40	40
36026	280	280
36027	309	309
36028	268	268
36029	319	319
37001	221	221
37002	264	264
37003	232	232
37004	248	248
37005	352	352
37006	368	368
37007	225	225
37008	224	224
37009	338	338
37010	375	375
37011	212	212
37012	228	228
37013	230	230
37014	342	342
37015	332	332
37016	348	348
37017	262	262
37018	265	265
37019	227	227
37020	265	265
37021	282	282
37022	270	270
37023	305	305
37024	348	348
37025	289	289
37026	414	414
37027	297	297
37028	268	268
37029	280	280
37030	314	314
37031	332	332
37032	276	276
37033	342	342
37034	303	303
37035	338	338
37036	313	313
37037	335	335
37038	314	314
37039	299	299
37040	339	339
37041	314	314
