Precinct	total_votes	votes|Stanley S. Moore
06001	404	404
06002	380	380
06003	398	398
06008	357	357
06013	276	276
06014	331	331
06016	181	181
06019	51	51
06029	381	381
06031	373	373
06034	372	372
06035	336	336
06036	422	422
06037	376	376
06038	378	378
06041	363	363
06042	354	354
06043	137	137
06044	346	346
06045	373	373
06046	245	245
07001	324	324
07002	331	331
07003	372	372
07004	348	348
07005	284	284
07006	427	427
07007	331	331
07008	281	281
07009	598	598
07010	383	383
07011	366	366
07012	308	308
07013	213	213
07014	367	367
07015	329	329
07016	263	263
07017	281	281
07018	301	301
07019	326	326
07020	253	253
07021	254	254
07022	293	293
07023	343	343
07024	279	279
07025	270	270
07026	277	277
07027	270	270
07028	251	251
07029	281	281
07030	231	231
07031	227	227
07032	456	456
07033	448	448
07034	415	415
07035	373	373
07036	410	410
07037	363	363
07038	282	282
07039	314	314
07040	290	290
07041	345	345
07042	291	291
07043	344	344
07044	285	285
07045	311	311
07046	144	144
08003	391	391
08004	420	420
08005	400	400
08006	372	372
08007	411	411
08008	353	353
08009	132	132
08010	470	470
08011	296	296
08012	317	317
08015	319	319
08017	321	321
08019	390	390
08022	325	325
08023	305	305
08024	226	226
08025	354	354
08027	403	403
08028	88	88
08029	412	412
08030	370	370
08031	271	271
08032	297	297
08033	340	340
08034	344	344
08035	396	396
08036	392	392
08037	305	305
08038	232	232
08039	357	357
08040	275	275
08041	413	413
08044	243	243
08046	294	294
08047	286	286
08048	337	337
08049	345	345
08050	366	366
08051	387	387
08052	451	451
08053	208	208
08056	356	356
09001	130	130
09002	57	57
09008	335	335
09010	265	265
09012	383	383
09017	88	88
09020	331	331
09021	283	283
09023	392	392
09024	346	346
09025	344	344
09027	287	287
09030	258	258
09036	278	278
09037	421	421
09042	331	331
09046	41	41
09047	346	346
09048	398	398
09049	359	359
09050	448	448
09051	339	339
10001	299	299
10002	276	276
10003	281	281
10004	242	242
10005	225	225
10006	237	237
10007	225	225
10008	208	208
10009	240	240
10010	290	290
10011	354	354
10012	198	198
10013	287	287
10014	366	366
10015	633	633
10016	221	221
10017	369	369
10018	204	204
10019	293	293
10020	304	304
10021	304	304
10022	185	185
10023	272	272
10024	267	267
10025	96	96
10026	235	235
10027	321	321
10028	347	347
10029	281	281
10030	263	263
10031	237	237
10032	298	298
10033	223	223
10034	224	224
10035	317	317
10036	78	78
18019	7	7
18032	356	356
21001	378	378
21002	261	261
21003	384	384
21005	384	384
21006	293	293
21007	351	351
21008	359	359
21009	388	388
21010	307	307
21011	323	323
21012	327	327
21013	334	334
21014	367	367
21016	327	327
21017	313	313
21018	398	398
21019	368	368
21020	305	305
21021	288	288
21022	303	303
21023	308	308
21024	352	352
21025	301	301
21027	342	342
21029	403	403
21031	249	249
21032	329	329
21033	299	299
21034	279	279
21035	406	406
21036	318	318
21037	252	252
21038	321	321
21039	291	291
21040	318	318
21041	345	345
21042	389	389
21043	41	41
21044	349	349
21045	326	326
21046	380	380
21048	338	338
21049	383	383
21050	286	286
21052	72	72
21053	279	279
