Precinct	total_votes	votes|Deborah Sims
09001	195	195
09002	255	255
09003	255	255
09004	253	253
09005	334	334
09006	322	322
09007	285	285
09009	351	351
09011	224	224
09013	394	394
09014	417	417
09015	360	360
09016	310	310
09017	139	139
09018	246	246
09019	319	319
09022	340	340
09026	383	383
09028	212	212
09029	302	302
09031	260	260
09032	344	344
09033	258	258
09034	250	250
09035	335	335
09037	22	22
09038	363	363
09039	376	376
09040	368	368
09041	285	285
09043	303	303
09044	306	306
09045	265	265
09046	306	306
34001	387	387
34002	305	305
34003	364	364
34004	267	267
34005	307	307
34006	408	408
34007	416	416
34008	291	291
34009	243	243
34010	343	343
34011	304	304
34012	388	388
34013	341	341
34014	271	271
34015	324	324
34016	302	302
34017	450	450
34018	266	266
34019	376	376
34020	418	418
34021	425	425
34022	366	366
34023	291	291
34024	327	327
34025	531	531
34026	384	384
34027	297	297
34028	236	236
34029	278	278
34030	348	348
34031	295	295
34032	353	353
34033	289	289
34034	378	378
34035	390	390
34036	312	312
34037	219	219
34038	168	168
34039	252	252
34040	385	385
34041	212	212
34042	355	355
34043	327	327
34044	364	364
34045	377	377
34046	244	244
34047	343	343
34048	369	369
34049	328	328
34050	291	291
34051	373	373
34052	265	265
34053	224	224
