Precinct	total_votes	votes|Frank L. Mcpartlin	votes|Peter N. Silvestri
38002	456	124	332
38003	396	212	184
38004	383	199	184
38005	409	228	181
38006	399	212	187
38007	377	167	210
38009	454	216	238
38012	406	133	273
38013	429	212	217
38016	390	230	160
38017	516	229	287
38019	396	218	178
38020	416	182	234
38024	438	204	234
38026	204	103	101
38027	401	204	197
38028	501	233	268
38029	402	258	144
38030	402	213	189
38038	388	216	172
41001	424	171	253
41002	422	160	262
41003	434	224	210
41004	465	209	256
41005	529	256	273
41006	555	247	308
41007	500	216	284
41008	458	194	264
41009	451	244	207
41010	490	209	281
41011	510	217	293
41012	445	217	228
41013	538	243	295
41014	519	262	257
41015	578	267	311
41016	413	202	211
41017	445	200	245
41018	423	197	226
41019	304	140	164
41020	342	161	181
41021	482	235	247
41022	513	215	298
41023	460	148	312
41024	399	161	238
41025	343	193	150
41026	456	211	245
41027	369	169	200
41028	445	288	157
41029	319	181	138
41030	454	231	223
41031	503	237	266
41032	380	186	194
41033	443	201	242
41034	404	172	232
41035	555	237	318
41036	458	210	248
41037	516	257	259
41038	423	208	215
41039	496	241	255
41040	487	182	305
41041	479	210	269
41042	431	186	245
41043	487	220	267
41044	468	163	305
41045	436	204	232
41046	476	208	268
41047	477	221	256
