Precinct	total_votes	votes|Susana A. Mendoza	votes|Darlene Senger	votes|Claire Ball
01001	588	506	54	28
01002	473	435	26	12
01003	639	548	75	16
01004	629	534	70	25
01005	656	559	73	24
01006	550	444	82	24
01007	407	350	35	22
01008	511	434	61	16
01009	458	402	35	21
01010	733	612	95	26
01011	665	547	80	38
01012	660	549	91	20
01013	256	223	23	10
01014	533	462	55	16
01015	513	437	62	14
01016	666	603	39	24
01017	480	433	31	16
01018	530	489	28	13
01019	642	578	40	24
01020	442	408	23	11
01021	771	672	85	14
01022	361	325	29	7
01023	767	688	56	23
01024	477	439	28	10
01025	559	496	44	19
01026	350	319	21	10
01027	608	510	69	29
01028	150	136	11	3
01029	673	573	71	29
01030	597	542	38	17
01031	525	456	55	14
01032	548	438	80	30
01033	659	534	101	24
01034	448	404	32	12
01035	693	571	90	32
01036	589	492	75	22
01037	583	472	88	23
01038	539	460	56	23
01039	498	427	53	18
01040	555	445	80	30
01041	331	300	22	9
01042	182	153	20	9
01043	350	313	27	10
01044	501	446	41	14
02001	647	531	85	31
02002	457	340	103	14
02003	662	554	86	22
02004	513	442	57	14
02005	685	577	81	27
02006	552	474	59	19
02007	550	441	85	24
02008	674	540	90	44
02009	536	380	137	19
02010	494	333	158	3
02011	633	447	179	7
02012	542	451	71	20
02013	508	383	113	12
02014	612	501	90	21
02015	556	463	68	25
02016	518	441	58	19
02017	682	583	85	14
02018	565	425	128	12
02019	443	298	141	4
02020	653	484	143	26
02021	603	520	66	17
02022	630	464	147	19
02023	415	287	123	5
02024	541	415	113	13
02025	616	504	84	28
02026	531	396	116	19
02027	540	361	166	13
02028	652	483	157	12
02029	652	486	152	14
02030	489	336	138	15
02031	674	492	164	18
02032	449	328	113	8
02033	857	609	227	21
02034	470	337	119	14
02035	745	541	172	32
02036	647	484	156	7
02037	534	396	120	18
02038	539	372	161	6
02039	410	249	148	13
02040	783	583	181	19
02041	591	438	136	17
02042	642	491	128	23
02043	778	563	201	14
02044	363	263	85	15
02045	667	503	138	26
02046	325	216	92	17
03001	644	602	13	29
03002	597	573	13	11
03003	446	395	36	15
03004	536	521	8	7
03005	312	289	9	14
03006	736	578	127	31
03007	325	311	6	8
03008	416	386	15	15
03009	507	480	14	13
03010	233	221	9	3
03011	510	483	10	17
03012	501	470	11	20
03013	628	530	83	15
03014	600	512	68	20
03015	466	442	5	19
03016	430	405	11	14
03017	737	659	54	24
03018	737	686	29	22
03019	641	494	131	16
03020	525	497	18	10
03021	609	491	101	17
03022	741	619	102	20
03023	442	404	24	14
03024	420	391	9	20
03025	945	722	203	20
03026	624	504	109	11
03027	711	556	135	20
03028	330	308	12	10
03029	493	454	16	23
03030	433	410	7	16
03031	547	523	11	13
03032	659	539	93	27
03033	664	539	94	31
03034	703	590	83	30
03035	237	222	10	5
03036	265	247	8	10
03037	445	423	9	13
03038	409	393	4	12
03039	894	742	117	35
03040	556	500	33	23
03041	353	309	29	15
04001	797	729	53	15
04002	709	581	102	26
04003	419	404	6	9
04004	707	670	18	19
04005	517	488	16	13
04006	622	572	35	15
04007	615	584	13	18
04008	562	537	5	20
04009	593	560	13	20
04010	653	613	20	20
04011	546	516	18	12
04012	598	573	12	13
04013	677	567	77	33
04014	542	513	16	13
04015	647	606	19	22
04016	930	808	95	27
04017	710	599	78	33
04018	509	475	17	17
04019	405	386	7	12
04020	516	427	69	20
04021	766	667	70	29
04022	548	508	31	9
04023	717	684	18	15
04024	497	461	26	10
04025	642	526	95	21
04026	506	482	6	18
04027	703	664	20	19
04028	445	412	24	9
04029	451	435	5	11
04030	713	669	21	23
04031	553	515	21	17
04032	588	540	23	25
04033	542	500	19	23
04034	459	420	20	19
04035	613	583	14	16
04036	607	575	19	13
04037	1025	859	124	42
04038	561	524	17	20
05001	407	389	10	8
05002	342	331	7	4
05003	583	539	32	12
05004	690	647	26	17
05005	452	423	13	16
05006	388	357	15	16
05007	530	490	20	20
05008	544	506	32	6
05009	619	588	16	15
05010	390	363	8	19
05011	553	513	26	14
05012	325	306	11	8
05013	414	389	10	15
05014	390	373	5	12
05015	478	433	30	15
05016	463	445	5	13
05017	410	387	11	12
05018	495	461	18	16
05019	490	462	20	8
05020	588	546	25	17
05021	560	525	20	15
05022	585	540	39	6
05023	902	824	52	26
05024	577	539	27	11
05025	450	433	7	10
05026	490	463	15	12
05027	619	552	50	17
05028	529	487	19	23
05029	503	468	18	17
05030	329	308	8	13
05031	380	362	9	9
05032	601	567	17	17
05033	536	509	8	19
05034	609	557	40	12
05035	623	574	30	19
05036	288	265	11	12
05037	572	526	32	14
05038	434	414	7	13
05039	425	389	24	12
05040	338	316	7	15
05041	295	279	12	4
06001	444	429	5	10
06002	422	401	5	16
06003	440	422	11	7
06004	317	300	8	9
06005	272	263	5	4
06006	432	406	11	15
06007	364	343	10	11
06008	388	367	7	14
06009	363	345	12	6
06010	240	223	7	10
06011	353	339	5	9
06012	290	278	7	5
06013	310	294	7	9
06014	369	352	3	14
06015	336	312	10	14
06016	413	386	12	15
06017	268	249	9	10
06018	288	273	7	8
06019	360	341	5	14
06020	238	226	5	7
06021	219	209	4	6
06022	238	225	8	5
06023	215	202	7	6
06024	208	193	11	4
06025	215	204	4	7
06026	292	269	8	15
06027	225	213	7	5
06028	197	186	5	6
06029	427	412	4	11
06030	311	281	14	16
06031	403	386	3	14
06032	366	351	7	8
06033	394	363	18	13
06034	406	389	2	15
06035	359	341	7	11
06036	463	445	12	6
06037	406	380	12	14
06038	421	398	14	9
06039	327	308	11	8
06040	354	332	6	16
06041	395	385	4	6
06042	406	384	13	9
06043	359	340	13	6
06044	390	372	10	8
06045	420	400	6	14
06046	274	263	6	5
06047	281	265	10	6
06048	419	393	6	20
07001	347	327	14	6
07002	363	344	9	10
07003	402	383	11	8
07004	392	361	11	20
07005	318	296	11	11
07006	490	466	11	13
07007	373	358	6	9
07008	318	294	12	12
07009	663	623	20	20
07010	426	401	13	12
07011	414	394	13	7
07012	360	345	4	11
07013	237	223	5	9
07014	413	397	7	9
07015	366	353	3	10
07016	290	274	6	10
07017	323	299	8	16
07018	341	311	16	14
07019	356	335	7	14
07020	292	282	4	6
07021	278	259	10	9
07022	321	293	14	14
07023	363	352	4	7
07024	310	297	8	5
07025	300	280	13	7
07026	308	294	5	9
07027	308	296	7	5
07028	279	265	6	8
07029	315	291	12	12
07030	270	254	5	11
07031	250	239	3	8
07032	497	469	15	13
07033	488	467	11	10
07034	443	421	9	13
07035	406	377	13	16
07036	442	419	10	13
07037	395	372	8	15
07038	320	307	8	5
07039	341	327	6	8
07040	326	310	7	9
07041	375	358	9	8
07042	313	303	5	5
07043	383	356	16	11
07044	321	315	1	5
07045	354	338	13	3
07046	159	150	6	3
08001	340	316	13	11
08002	364	337	11	16
08003	449	426	10	13
08004	444	426	3	15
08005	440	420	10	10
08006	408	392	12	4
08007	457	439	9	9
08008	387	374	8	5
08009	268	260	2	6
08010	498	469	9	20
08011	334	308	13	13
08012	346	330	6	10
08013	451	424	13	14
08014	290	275	8	7
08015	355	333	10	12
08016	122	110	5	7
08017	351	344	4	3
08018	382	358	12	12
08019	419	401	8	10
08020	450	426	10	14
08021	491	469	12	10
08022	363	350	4	9
08023	336	317	6	13
08024	244	230	4	10
08025	392	364	16	12
08026	364	339	17	8
08027	433	410	11	12
08028	408	383	10	15
08029	458	430	12	16
08030	420	392	10	18
08031	295	273	13	9
08032	324	317	2	5
08033	374	353	11	10
08034	380	363	7	10
08035	427	407	9	11
08036	420	402	7	11
08037	333	316	9	8
08038	269	260	2	7
08039	398	376	8	14
08040	300	287	6	7
08041	449	429	7	13
08042	481	457	6	18
08043	219	207	7	5
08044	274	264	5	5
08045	384	360	17	7
08046	317	304	3	10
08047	323	303	9	11
08048	366	352	4	10
08049	370	355	5	10
08050	397	373	10	14
08051	436	412	9	15
08052	484	468	4	12
08053	230	215	6	9
08054	319	308	3	8
08055	316	299	9	8
08056	394	380	5	9
09001	377	359	8	10
09002	333	320	5	8
09003	299	281	9	9
09004	287	277	4	6
09005	366	361	2	3
09006	342	329	6	7
09007	313	290	10	13
09008	366	349	5	12
09009	403	387	6	10
09010	302	286	8	8
09011	243	229	7	7
09012	427	406	8	13
09013	424	409	9	6
09014	448	427	12	9
09015	415	400	6	9
09016	323	305	6	12
09017	252	242	6	4
09018	277	269	2	6
09019	349	338	4	7
09020	371	356	4	11
09021	321	304	12	5
09022	377	358	10	9
09023	432	407	7	18
09024	384	373	8	3
09025	379	362	7	10
09026	413	402	4	7
09027	325	315	4	6
09028	227	214	6	7
09029	336	321	8	7
09030	301	280	9	12
09031	287	272	6	9
09032	369	353	11	5
09033	278	270	3	5
09034	272	253	9	10
09035	377	367	7	3
09036	309	293	7	9
09037	525	446	55	24
09038	397	381	10	6
09039	395	378	9	8
09040	408	384	13	11
09041	308	295	5	8
09042	373	357	7	9
09043	327	312	9	6
09044	323	308	6	9
09045	296	284	6	6
09046	368	344	14	10
09047	389	377	6	6
09048	428	402	8	18
09049	406	388	10	8
09050	495	477	9	9
