Precinct	total_votes	votes|Yes	votes|No
01001	552	515	37
01002	437	415	22
01003	594	565	29
01004	563	521	42
01005	616	579	37
01006	523	484	39
01007	383	351	32
01008	439	395	44
01009	370	326	44
01010	704	665	39
01011	645	590	55
01012	622	586	36
01013	240	227	13
01014	502	466	36
01015	464	435	29
01016	629	582	47
01017	446	415	31
01018	496	459	37
01019	544	506	38
01020	423	399	24
01021	720	669	51
01022	341	321	20
01023	750	697	53
01024	442	412	30
01025	526	498	28
01026	314	286	28
01027	542	501	41
01028	103	87	16
01029	645	607	38
01030	553	517	36
01031	490	443	47
01032	514	475	39
01033	617	563	54
01034	420	403	17
01035	653	604	49
01036	554	512	42
01037	545	495	50
01038	508	475	33
01039	472	440	32
01040	507	455	52
01041	304	285	19
01042	177	156	21
01043	327	302	25
01044	487	461	26
02001	603	556	47
02002	430	368	62
02003	613	554	59
02004	489	459	30
02005	659	623	36
02006	536	498	38
02007	509	459	50
02008	631	574	57
02009	509	455	54
02010	438	378	60
02011	577	503	74
02012	472	426	46
02013	454	397	57
02014	581	530	51
02015	524	484	40
02016	485	458	27
02017	648	597	51
02018	512	453	59
02019	397	343	54
02020	623	571	52
02021	548	512	36
02022	558	484	74
02023	377	313	64
02024	479	434	45
02025	588	546	42
02026	487	432	55
02027	488	423	65
02028	602	530	72
02029	603	539	64
02030	450	388	62
02031	624	543	81
02032	436	384	52
02033	801	710	91
02034	425	362	63
02035	720	653	67
02036	595	539	56
02037	476	431	45
02038	487	425	62
02039	348	298	50
02040	721	641	80
02041	552	494	58
02042	582	521	61
02043	711	624	87
02044	333	291	42
02045	612	550	62
02046	308	264	44
03001	579	523	56
03002	537	478	59
03003	359	312	47
03004	512	470	42
03005	267	235	32
03006	681	609	72
03007	280	247	33
03008	362	322	40
03009	465	428	37
03010	178	158	20
03011	460	426	34
03012	465	425	40
03013	596	529	67
03014	553	506	47
03015	339	303	36
03016	363	319	44
03017	694	637	57
03018	672	590	82
03019	598	535	63
03020	499	450	49
03021	559	481	78
03022	702	635	67
03023	402	334	68
03024	395	351	44
03025	912	792	120
03026	576	510	66
03027	673	603	70
03028	298	269	29
03029	438	374	64
03030	371	338	33
03031	500	462	38
03032	618	556	62
03033	628	567	61
03034	645	578	67
03035	233	219	14
03036	238	203	35
03037	426	381	45
03038	369	334	35
03039	830	736	94
03040	490	448	42
03041	345	315	30
04001	755	691	64
04002	685	617	68
04003	393	353	40
04004	647	571	76
04005	474	427	47
04006	517	454	63
04007	577	512	65
04008	519	483	36
04009	533	480	53
04010	626	587	39
04011	503	447	56
04012	577	530	47
04013	646	595	51
04014	508	448	60
04015	620	562	58
04016	883	810	73
04017	664	606	58
04018	471	430	41
04019	341	302	39
04020	471	408	63
04021	712	655	57
04022	524	459	65
04023	694	642	52
04024	452	406	46
04025	595	542	53
04026	449	415	34
04027	668	618	50
04028	419	362	57
04029	423	390	33
04030	652	572	80
04031	500	447	53
04032	567	513	54
04033	506	464	42
04034	421	374	47
04035	585	529	56
04036	549	497	52
04037	968	877	91
04038	535	485	50
05001	372	339	33
05002	313	290	23
05003	550	503	47
05004	645	601	44
05005	406	373	33
05006	356	317	39
05007	488	452	36
05008	501	460	41
05009	563	520	43
05010	348	307	41
05011	517	474	43
05012	304	267	37
05013	385	350	35
05014	365	333	32
05015	445	392	53
05016	417	367	50
05017	340	291	49
05018	460	429	31
05019	457	432	25
05020	551	511	40
05021	543	488	55
05022	536	493	43
05023	838	756	82
05024	548	504	44
05025	424	381	43
05026	457	400	57
05027	578	535	43
05028	489	446	43
05029	477	420	57
05030	273	234	39
05031	345	304	41
05032	573	521	52
05033	463	410	53
05034	560	510	50
05035	598	540	58
05036	257	220	37
05037	525	465	60
05038	396	346	50
05039	392	355	37
05040	322	292	30
05041	268	245	23
06001	401	357	44
06002	366	326	40
06003	378	332	46
06004	286	240	46
06005	228	202	26
06006	400	358	42
06007	338	303	35
06008	378	340	38
06009	317	279	38
06010	219	198	21
06011	318	284	34
06012	261	230	31
06013	283	244	39
06014	277	250	27
06015	283	239	44
06016	376	342	34
06017	230	195	35
06018	229	202	27
06019	329	286	43
06020	207	184	23
06021	199	175	24
06022	229	204	25
06023	185	160	25
06024	181	157	24
06025	179	156	23
06026	252	223	29
06027	201	171	30
06028	171	147	24
06029	380	332	48
06030	292	244	48
06031	371	331	40
06032	345	309	36
06033	358	318	40
06034	374	330	44
06035	328	286	42
06036	427	388	39
06037	376	341	35
06038	392	345	47
06039	301	266	35
06040	321	279	42
06041	356	320	36
06042	359	324	35
06043	316	279	37
06044	346	311	35
06045	397	358	39
06046	254	233	21
06047	252	216	36
06048	385	355	30
07001	307	267	40
07002	337	291	46
07003	375	336	39
07004	362	330	32
07005	281	243	38
07006	439	394	45
07007	322	275	47
07008	279	252	27
07009	619	552	67
07010	394	359	35
07011	365	317	48
07012	309	280	29
07013	206	184	22
07014	354	320	34
07015	336	304	32
07016	275	245	30
07017	295	245	50
07018	285	246	39
07019	326	297	29
07020	258	232	26
07021	251	223	28
07022	287	251	36
07023	336	300	36
07024	274	246	28
07025	281	242	39
07026	282	238	44
07027	265	241	24
07028	251	222	29
07029	283	246	37
07030	242	200	42
07031	229	203	26
07032	461	431	30
07033	464	422	42
07034	420	371	49
07035	375	333	42
07036	413	371	42
07037	366	326	40
07038	297	244	53
07039	315	278	37
07040	293	257	36
07041	354	327	27
07042	289	259	30
07043	310	272	38
07044	300	269	31
07045	320	287	33
07046	122	111	11
08001	313	277	36
08002	335	301	34
08003	422	392	30
08004	423	359	64
08005	394	363	31
08006	382	350	32
08007	420	377	43
08008	369	344	25
08009	244	215	29
08010	466	413	53
08011	283	248	35
08012	299	250	49
08013	397	340	57
08014	263	219	44
08015	305	267	38
08016	111	96	15
08017	324	283	41
08018	341	299	42
08019	394	350	44
08020	413	371	42
08021	456	408	48
08022	343	304	39
08023	303	271	32
08024	223	200	23
08025	373	329	44
08026	321	283	38
08027	400	358	42
08028	378	340	38
08029	414	364	50
08030	364	318	46
08031	259	229	30
08032	275	248	27
08033	338	293	45
08034	352	322	30
08035	390	352	38
08036	379	339	40
08037	300	280	20
08038	239	215	24
08039	355	323	32
08040	286	251	35
08041	409	353	56
08042	437	387	50
08043	209	182	27
08044	243	212	31
08045	342	305	37
08046	288	250	38
08047	298	263	35
08048	337	300	37
08049	346	309	37
08050	359	321	38
08051	382	352	30
08052	449	399	50
08053	221	198	23
08054	293	258	35
08055	249	211	38
08056	371	344	27
09001	345	305	40
09002	296	260	36
09003	273	241	32
09004	262	234	28
09005	344	307	37
09006	294	263	31
09007	270	233	37
09008	332	306	26
09009	371	332	39
09010	266	239	27
09011	225	192	33
09012	400	355	45
09013	396	361	35
09014	411	365	46
09015	377	331	46
09016	309	281	28
09017	215	189	26
09018	248	217	31
09019	330	303	27
09020	329	286	43
09021	292	266	26
09022	352	303	49
09023	413	371	42
09024	322	296	26
09025	359	330	29
09026	373	328	45
09027	275	243	32
09028	210	187	23
09029	286	241	45
09030	272	242	30
09031	260	239	21
09032	358	311	47
09033	262	232	30
09034	249	217	32
09035	347	316	31
09036	280	247	33
09037	492	430	62
09038	369	321	48
09039	378	334	44
09040	388	346	42
09041	276	242	34
09042	357	312	45
09043	290	244	46
09044	299	275	24
09045	269	235	34
09046	336	300	36
09047	365	328	37
09048	380	347	33
09049	354	317	37
09050	470	426	44
09051	336	305	31
10001	285	247	38
10002	343	280	63
10003	345	288	57
10004	252	227	25
10005	266	221	45
10006	260	217	43
10007	243	202	41
10008	202	174	28
10009	337	285	52
10010	348	299	49
10011	393	346	47
10012	209	180	29
10013	302	266	36
10014	446	379	67
10015	624	550	74
10016	253	209	44
10017	443	357	86
10018	215	184	31
10019	353	289	64
10020	377	330	47
10021	325	272	53
10022	198	182	16
10023	285	248	37
10024	343	282	61
10025	93	84	9
10026	245	208	37
10027	315	274	41
10028	373	307	66
10029	311	260	51
10030	285	241	44
10031	247	217	30
10032	340	294	46
10033	231	204	27
10034	231	204	27
10035	408	336	72
10036	85	70	15
11001	399	341	58
11002	30	23	7
11003	412	388	24
11004	336	279	57
11005	520	466	54
11006	703	638	65
11007	635	583	52
11008	374	330	44
11009	323	274	49
11010	367	313	54
11011	443	382	61
11012	546	453	93
11013	469	381	88
11014	194	158	36
11015	156	135	21
11016	270	217	53
11017	514	450	64
11018	297	256	41
11019	518	463	55
