Precinct	total_votes	votes|John C. D'Amico	votes|Amanda Biela
33002	304	249	55
33007	132	111	21
35030	2	2	0
39001	473	272	201
39002	464	279	185
39004	424	261	163
39005	460	321	139
39006	424	340	84
39007	409	310	99
39008	474	385	89
39009	431	337	94
39010	223	190	33
39011	411	305	106
39012	258	219	39
39013	344	237	107
39014	486	358	128
39015	509	303	206
39016	364	282	82
39017	486	355	131
39018	434	317	117
39019	464	355	109
39024	7	4	3
39025	61	54	7
39026	430	256	174
39027	83	42	41
39029	255	220	35
39030	476	387	89
39031	49	38	11
39032	391	259	132
39033	496	376	120
39035	448	317	131
39036	124	101	23
39037	461	276	185
39038	276	189	87
39039	301	218	83
39040	421	273	148
39041	488	297	191
39042	510	281	229
39043	511	279	232
39044	360	161	199
39045	453	243	210
41006	573	279	294
41009	460	254	206
41014	540	288	252
41019	551	233	318
41032	390	218	172
41039	514	269	245
41047	500	257	243
45032	107	74	33
50024	321	131	190
50025	50	18	32
