Precinct	total_votes	votes|Robert Martwick	votes|Ammie Kessem
29029	354	224	130
29031	162	96	66
29032	404	225	179
38001	390	276	114
38003	413	243	170
38005	426	265	161
38006	413	222	191
38007	271	134	137
38009	469	243	226
38011	366	244	122
38013	444	258	186
38014	453	286	167
38015	377	265	112
38017	455	240	215
38018	473	274	199
38019	486	299	187
38021	147	99	48
38022	415	287	128
38024	458	227	231
38025	377	247	130
38026	437	286	151
38027	419	247	172
38029	411	273	138
38030	420	224	196
38031	426	284	142
38032	422	286	136
38033	409	289	120
38036	392	282	110
38038	408	257	151
38040	437	303	134
38041	398	315	83
39020	561	318	243
39021	426	229	197
39023	479	251	228
39024	579	305	274
39041	3	2	1
41003	199	114	85
41012	464	242	222
41024	411	168	243
41030	486	237	249
41038	447	219	228
45012	441	331	110
45013	402	288	114
45014	583	435	148
45015	561	440	121
45016	405	302	103
45017	532	375	157
45018	482	305	177
45019	245	181	64
45020	332	233	99
45021	424	259	165
45022	419	285	134
45023	406	244	162
45024	366	211	155
45025	292	168	124
45026	251	120	131
45027	451	254	197
45028	366	251	115
45029	302	182	120
45030	383	306	77
45031	371	269	102
45032	291	208	83
45033	341	252	89
45034	453	307	146
45035	491	320	171
45036	480	290	190
45037	446	282	164
45038	415	250	165
45039	443	275	168
45040	438	239	199
45041	418	220	198
45042	426	203	223
45043	447	233	214
45044	443	229	214
45045	312	147	165
45046	334	180	154
45047	324	165	159
45048	383	166	217
