Precinct	total_votes	votes|Celina Villanueva
12002	279	279
12006	310	310
12007	302	302
12010	336	336
12011	332	332
12012	315	315
12013	68	68
12014	306	306
12015	241	241
12016	286	286
12017	192	192
12018	277	277
12020	377	377
12022	274	274
14001	33	33
15006	272	272
15009	31	31
15010	214	214
15011	144	144
15012	35	35
22004	101	101
22005	4	4
22007	49	49
22010	365	365
22013	176	176
22014	214	214
22015	207	207
22016	260	260
22017	52	52
22018	152	152
22019	3	3
22022	264	264
23001	87	87
23012	227	227
23016	251	251
23021	240	240
23027	194	194
23036	252	252
23037	160	160
24016	336	336
