Precinct	total_votes	votes|La Shawn K. Ford
28001	208	208
28012	301	301
28014	225	225
28031	397	397
28039	221	221
28041	221	221
28042	199	199
28043	365	365
29002	500	500
29003	409	409
29006	319	319
29008	321	321
29011	223	223
29014	345	345
29016	354	354
29018	359	359
29019	386	386
29020	452	452
29021	469	469
29022	260	260
29028	453	453
29034	276	276
29042	420	420
37001	217	217
37005	365	365
37006	369	369
37009	333	333
37010	383	383
37011	222	222
37014	322	322
37015	340	340
37016	356	356
37017	262	262
37020	267	267
37022	176	176
37023	309	309
37024	355	355
37025	295	295
37026	416	416
37027	304	304
37029	131	131
37030	310	310
37031	335	335
37032	283	283
37033	348	348
37034	311	311
37036	321	321
37038	323	323
37039	307	307
37040	340	340
37041	327	327
