Precinct	total_votes	votes|Arthur Turner
02009	405	405
02012	432	432
02020	12	12
02041	153	153
02046	229	229
11002	27	27
11006	589	589
11007	615	615
11033	470	470
12010	59	59
22019	162	162
22021	331	331
24001	258	258
24002	274	274
24003	299	299
24004	218	218
24005	162	162
24006	303	303
24007	181	181
24008	143	143
24009	267	267
24010	128	128
24011	319	319
24012	169	169
24013	151	151
24014	247	247
24015	149	149
24016	24	24
24017	216	216
24018	308	308
24020	17	17
24021	143	143
24022	346	346
24023	203	203
24024	298	298
24025	242	242
24026	395	395
24027	301	301
24028	182	182
24029	240	240
24030	167	167
24031	322	322
24033	163	163
24034	265	265
24035	265	265
24036	355	355
24037	169	169
24038	247	247
24039	289	289
24040	323	323
25003	653	653
25004	337	337
25010	625	625
25016	608	608
25020	247	247
25025	369	369
25027	265	265
25029	307	307
25031	749	749
27002	382	382
27006	426	426
27009	185	185
27010	152	152
27011	180	180
27014	47	47
27016	297	297
27018	251	251
27020	275	275
27021	390	390
27025	33	33
27028	361	361
27033	159	159
27037	410	410
27038	403	403
27041	292	292
27042	254	254
27045	795	795
27047	236	236
27048	686	686
28004	289	289
28005	190	190
28006	172	172
28008	374	374
28010	392	392
28011	610	610
28018	252	252
28019	252	252
28027	301	301
28028	370	370
28029	151	151
28032	1	1
28034	498	498
28035	326	326
28045	394	394
28046	556	556
42003	522	522
42009	3	3
42012	246	246
42016	512	512
42018	0	0
42021	137	137
42036	349	349
42041	158	158
43001	264	264
43003	461	461
43005	280	280
43045	285	285
