Precinct	total_votes	votes|Martin A. Sandoval
12002	290	290
12006	324	324
12007	314	314
12010	345	345
12011	342	342
12012	337	337
12013	69	69
12014	311	311
12015	255	255
12016	302	302
12017	200	200
12018	287	287
12020	389	389
12022	280	280
13001	238	238
13002	233	233
13003	250	250
13004	270	270
13005	344	344
13006	261	261
13007	221	221
13008	230	230
13009	308	308
13010	243	243
13011	305	305
13012	258	258
13013	274	274
13014	294	294
13015	413	413
13016	209	209
13017	234	234
13018	205	205
13019	331	331
13020	151	151
13021	291	291
13022	304	304
13023	212	212
13024	286	286
13025	300	300
13026	280	280
13027	266	266
13028	232	232
13029	219	219
13030	244	244
13031	297	297
13032	223	223
13033	269	269
13034	329	329
13035	263	263
13036	190	190
13037	315	315
13038	227	227
13039	300	300
13040	286	286
13041	330	330
13042	245	245
13043	281	281
13044	279	279
13045	297	297
13046	353	353
13047	329	329
13048	223	223
14001	34	34
14003	323	323
14006	25	25
14010	0	0
14011	193	193
14015	350	350
14018	93	93
14022	284	284
14023	68	68
15006	286	286
15009	36	36
15010	224	224
15011	147	147
15012	39	39
18015	343	343
18043	225	225
18046	207	207
22004	99	99
22005	4	4
22007	52	52
22010	388	388
22013	177	177
22014	216	216
22015	204	204
22016	255	255
22017	48	48
22018	150	150
22019	2	2
22022	272	272
23001	261	261
23002	280	280
23004	322	322
23005	321	321
23006	225	225
23007	251	251
23008	353	353
23009	268	268
23010	353	353
23011	324	324
23012	256	256
23013	285	285
23014	37	37
23015	280	280
23016	274	274
23017	76	76
23018	224	224
23020	158	158
23021	263	263
23022	206	206
23023	258	258
23024	102	102
23025	18	18
23026	186	186
23027	219	219
23028	285	285
23029	248	248
23030	341	341
23032	298	298
23033	323	323
23034	297	297
23035	180	180
23036	269	269
23037	173	173
23038	254	254
23039	335	335
24016	358	358
